bible_version,hebrew_id,0
KJV,H559,791
NLT,H559,597
NIV,H559,597
ESV,H559,597
KJV,H413,469
KJV,H834,399
KJV,H1961,393
KJV,H1121,392
KJV,H853,383
NIV,H1121,365
NLT,H1121,365
ESV,H1121,365
KJV,H3605,349
NIV,H3605,345
NLT,H3605,345
ESV,H3605,345
KJV,H776,327
NLT,H776,309
ESV,H776,309
NIV,H776,309
KJV,H5921,300
ESV,H834,297
NIV,H834,297
NLT,H834,297
KJV,H3588,286
KJV,H935,256
KJV,H3808,255
NIV,H3205,236
ESV,H3205,236
NLT,H3205,236
ESV,H430,221
NIV,H430,221
NLT,H430,221
KJV,H430,220
NIV,H935,216
ESV,H935,216
NLT,H935,216
KJV,H1,208
NLT,H1,207
ESV,H1,207
NIV,H1,207
KJV,H3205,194
KJV,H7200,192
KJV,H251,188
KJV,H3290,182
KJV,H6213,181
NIV,H3290,180
NLT,H3290,180
ESV,H3290,180
NLT,H251,177
ESV,H251,177
NIV,H251,177
KJV,H3947,176
KJV,H1931,171
KJV,H3117,165
NLT,H3068,165
KJV,H5414,165
NIV,H3068,165
ESV,H3068,165
ESV,H376,164
NIV,H376,164
KJV,H376,164
NLT,H376,164
KJV,H3068,163
KJV,H802,160
NIV,H6213,157
ESV,H6213,157
NLT,H6213,157
KJV,H3130,156
ESV,H3130,155
NLT,H3130,155
NIV,H3130,155
NLT,H802,152
ESV,H5414,152
NIV,H5414,152
ESV,H802,152
NIV,H802,152
NLT,H5414,152
NIV,H3117,151
NLT,H3117,151
ESV,H3117,151
NLT,H7200,150
ESV,H7200,150
NIV,H7200,150
KJV,H7121,148
NIV,H3947,142
ESV,H3947,142
NLT,H3947,142
ESV,H1961,141
NIV,H1961,141
NLT,H1961,141
KJV,H854,140
KJV,H6440,140
KJV,H85,133
KJV,H1004,133
NIV,H85,132
ESV,H85,132
NLT,H85,132
NIV,H6440,131
NLT,H6440,131
ESV,H6440,131
KJV,H8141,130
ESV,H2088,129
NIV,H2088,129
NLT,H2088,129
KJV,H2009,128
NLT,H2009,124
NIV,H2009,124
ESV,H2009,124
ESV,H1980,122
NIV,H1980,122
NLT,H1980,122
KJV,H1323,120
NLT,H8141,118
ESV,H8141,118
NIV,H8141,118
KJV,H8034,116
KJV,H3318,114
ESV,H7121,112
NIV,H7121,112
NLT,H7121,112
NIV,H1323,110
NLT,H1323,110
ESV,H1323,110
