bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,bible_book,version
1,Leviticus1:1,WORD,Then,H7121,Leviticus,ASV
1,Leviticus1:1,PHRASE,the LORD,H3068,Leviticus,ASV
1,Leviticus1:1,WORD,called,H7121,Leviticus,ASV
1,Leviticus1:1,WORD,to,H413,Leviticus,ASV
1,Leviticus1:1,WORD,Moses,H4872,Leviticus,ASV
1,Leviticus1:1,PHRASE,and spoke,H1696,Leviticus,ASV
1,Leviticus1:1,PHRASE,to him,H413,Leviticus,ASV
1,Leviticus1:1,PHRASE,from the tent,H168,Leviticus,ASV
1,Leviticus1:1,PHRASE,of meeting,H4150,Leviticus,ASV
1,Leviticus1:1,WORD,saying,H559,Leviticus,ASV
1,Leviticus1:2,WORD,Speak,H1696,Leviticus,ASV
1,Leviticus1:2,WORD,to,H413,Leviticus,ASV
1,Leviticus1:2,PHRASE,the sons,H1121,Leviticus,ASV
1,Leviticus1:2,PHRASE,of Israel,H3478,Leviticus,ASV
1,Leviticus1:2,PHRASE,and say,H559,Leviticus,ASV
1,Leviticus1:2,PHRASE,"to them,",H413,Leviticus,ASV
1,Leviticus1:2,WORD,When,H3588,Leviticus,ASV
1,Leviticus1:2,PHRASE,any man,H120,Leviticus,ASV
1,Leviticus1:2,PHRASE,of you,H4480,Leviticus,ASV
1,Leviticus1:2,WORD,brings,H7126,Leviticus,ASV
1,Leviticus1:2,PHRASE,an offering,H7133,Leviticus,ASV
1,Leviticus1:2,PHRASE,to the LORD,H3068,Leviticus,ASV
1,Leviticus1:2,PHRASE,you shall bring,H7126,Leviticus,ASV
1,Leviticus1:2,PHRASE,your offering,H7133,Leviticus,ASV
1,Leviticus1:2,WORD,of,H4480,Leviticus,ASV
1,Leviticus1:2,WORD,animals,H929,Leviticus,ASV
1,Leviticus1:2,WORD,from,H4480,Leviticus,ASV
1,Leviticus1:2,PHRASE,the herd,H1241,Leviticus,ASV
1,Leviticus1:2,WORD,or,H4480,Leviticus,ASV
1,Leviticus1:2,PHRASE,the flock,H6629,Leviticus,ASV
1,Leviticus1:3,WORD,If,H518,Leviticus,ASV
1,Leviticus1:3,PHRASE,his offering,H7133,Leviticus,ASV
1,Leviticus1:3,WORD,is,,Leviticus,ASV
1,Leviticus1:3,PHRASE,a burnt offering,H5930,Leviticus,ASV
1,Leviticus1:3,WORD,from,H4480,Leviticus,ASV
1,Leviticus1:3,PHRASE,the herd,H1241,Leviticus,ASV
