bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,bible_book,version
1,Deuteronomy1:1,WORD,These,H428,Deuteronomy,KJV
1,Deuteronomy1:1,WORD,[be],,Deuteronomy,KJV
1,Deuteronomy1:1,PHRASE,the words,H1697,Deuteronomy,KJV
1,Deuteronomy1:1,WORD,which,H834,Deuteronomy,KJV
1,Deuteronomy1:1,WORD,Moses,H4872,Deuteronomy,KJV
1,Deuteronomy1:1,WORD,spake,H1696,Deuteronomy,KJV
1,Deuteronomy1:1,WORD,unto,H413,Deuteronomy,KJV
1,Deuteronomy1:1,WORD,all,H3605,Deuteronomy,KJV
1,Deuteronomy1:1,WORD,Israel,H3478,Deuteronomy,KJV
1,Deuteronomy1:1,PHRASE,on this side,H5676,Deuteronomy,KJV
1,Deuteronomy1:1,WORD,Jordan,H3383,Deuteronomy,KJV
1,Deuteronomy1:1,PHRASE,"in the wilderness,",H4057,Deuteronomy,KJV
1,Deuteronomy1:1,PHRASE,in the plain,H6160,Deuteronomy,KJV
1,Deuteronomy1:1,PHRASE,over against,H4136,Deuteronomy,KJV
1,Deuteronomy1:1,PHRASE,the Red,H5489,Deuteronomy,KJV
1,Deuteronomy1:1,WORD,"[sea],",,Deuteronomy,KJV
1,Deuteronomy1:1,WORD,between,H996,Deuteronomy,KJV
1,Deuteronomy1:1,WORD,"Paran,",H6290,Deuteronomy,KJV
1,Deuteronomy1:1,WORD,and,H996,Deuteronomy,KJV
1,Deuteronomy1:1,WORD,"Tophel,",H8603,Deuteronomy,KJV
1,Deuteronomy1:1,PHRASE,"and Laban,",H3837,Deuteronomy,KJV
1,Deuteronomy1:1,PHRASE,"and Hazeroth,",H2698,Deuteronomy,KJV
1,Deuteronomy1:1,PHRASE,and Dizahab.,H1774,Deuteronomy,KJV
1,Deuteronomy1:1,WORD,,H1774,Deuteronomy,KJV
1,Deuteronomy1:2,PHRASE,([There are],,Deuteronomy,KJV
1,Deuteronomy1:2,WORD,eleven,H259,Deuteronomy,KJV
1,Deuteronomy1:2,WORD,,H6240,Deuteronomy,KJV
1,Deuteronomy1:2,WORD,days',H3117,Deuteronomy,KJV
1,Deuteronomy1:2,WORD,[journey],,Deuteronomy,KJV
1,Deuteronomy1:2,PHRASE,from Horeb,H2722,Deuteronomy,KJV
1,Deuteronomy1:2,PHRASE,by the way,H1870,Deuteronomy,KJV
1,Deuteronomy1:2,PHRASE,of mount,H2022,Deuteronomy,KJV
1,Deuteronomy1:2,WORD,Seir,H8165,Deuteronomy,KJV
1,Deuteronomy1:2,WORD,unto,H5704,Deuteronomy,KJV
1,Deuteronomy1:2,WORD,Kadeshbarnea.),H6947,Deuteronomy,KJV
1,Deuteronomy1:2,WORD,,H6947,Deuteronomy,KJV
1,Deuteronomy1:3,PHRASE,And it came to pass,H1961,Deuteronomy,KJV
1,Deuteronomy1:3,PHRASE,in the fortieth,H705,Deuteronomy,KJV
1,Deuteronomy1:3,WORD,"year,",H8141,Deuteronomy,KJV
1,Deuteronomy1:3,PHRASE,in the eleventh,H6249,Deuteronomy,KJV
1,Deuteronomy1:3,WORD,,H6240,Deuteronomy,KJV
1,Deuteronomy1:3,WORD,"month,",H2320,Deuteronomy,KJV
1,Deuteronomy1:3,PHRASE,on the first,H259,Deuteronomy,KJV
1,Deuteronomy1:3,WORD,[day],,Deuteronomy,KJV
1,Deuteronomy1:3,PHRASE,"of the month,",H2320,Deuteronomy,KJV
1,Deuteronomy1:3,WORD,[that],,Deuteronomy,KJV
1,Deuteronomy1:3,WORD,Moses,H4872,Deuteronomy,KJV
1,Deuteronomy1:3,WORD,spake,H1696,Deuteronomy,KJV
1,Deuteronomy1:3,WORD,unto,H413,Deuteronomy,KJV
1,Deuteronomy1:3,PHRASE,the children,H1121,Deuteronomy,KJV
1,Deuteronomy1:3,PHRASE,"of Israel,",H3478,Deuteronomy,KJV
1,Deuteronomy1:3,PHRASE,according unto all,H3605,Deuteronomy,KJV
1,Deuteronomy1:3,WORD,that,H834,Deuteronomy,KJV
1,Deuteronomy1:3,PHRASE,the LORD,H3068,Deuteronomy,KJV
1,Deuteronomy1:3,PHRASE,had given,H6680,Deuteronomy,KJV
1,Deuteronomy1:3,WORD,him,H853,Deuteronomy,KJV
1,Deuteronomy1:3,PHRASE,in commandment,H6680,Deuteronomy,KJV
1,Deuteronomy1:3,PHRASE,unto them;,H413,Deuteronomy,KJV
1,Deuteronomy1:4,WORD,After,H310,Deuteronomy,KJV
1,Deuteronomy1:4,PHRASE,he had slain,H5221,Deuteronomy,KJV
1,Deuteronomy1:4,WORD,Sihon,H5511,Deuteronomy,KJV
1,Deuteronomy1:4,PHRASE,the king,H4428,Deuteronomy,KJV
1,Deuteronomy1:4,PHRASE,"of the Amorites,",H567,Deuteronomy,KJV
1,Deuteronomy1:4,WORD,which,H834,Deuteronomy,KJV
1,Deuteronomy1:4,WORD,dwelt,H3427,Deuteronomy,KJV
1,Deuteronomy1:4,PHRASE,"in Heshbon,",H2809,Deuteronomy,KJV
1,Deuteronomy1:4,WORD,and,H853,Deuteronomy,KJV
1,Deuteronomy1:4,WORD,Og,H5747,Deuteronomy,KJV
1,Deuteronomy1:4,PHRASE,the king,H4428,Deuteronomy,KJV
1,Deuteronomy1:4,PHRASE,"of Bashan,",H1316,Deuteronomy,KJV
1,Deuteronomy1:4,WORD,which,H834,Deuteronomy,KJV
1,Deuteronomy1:4,WORD,dwelt,H3427,Deuteronomy,KJV
1,Deuteronomy1:4,PHRASE,at Astaroth,H6252,Deuteronomy,KJV
1,Deuteronomy1:4,PHRASE,in Edrei:,H154,Deuteronomy,KJV
1,Deuteronomy1:5,PHRASE,On this side,H5676,Deuteronomy,KJV
1,Deuteronomy1:5,WORD,"Jordan,",H3383,Deuteronomy,KJV
1,Deuteronomy1:5,PHRASE,in the land,H776,Deuteronomy,KJV
1,Deuteronomy1:5,PHRASE,"of Moab,",H4124,Deuteronomy,KJV
1,Deuteronomy1:5,WORD,began,H2974,Deuteronomy,KJV
1,Deuteronomy1:5,WORD,Moses,H4872,Deuteronomy,KJV
1,Deuteronomy1:5,PHRASE,to declare,H874,Deuteronomy,KJV
1,Deuteronomy1:5,WORD,this,H2063,Deuteronomy,KJV
1,Deuteronomy1:5,WORD,"law,",H8451,Deuteronomy,KJV
1,Deuteronomy1:5,WORD,"saying,",H559,Deuteronomy,KJV
1,Deuteronomy1:6,PHRASE,The LORD,H3068,Deuteronomy,KJV
1,Deuteronomy1:6,PHRASE,our God,H430,Deuteronomy,KJV
1,Deuteronomy1:6,WORD,spake,H1696,Deuteronomy,KJV
1,Deuteronomy1:6,PHRASE,unto us,H413,Deuteronomy,KJV
1,Deuteronomy1:6,PHRASE,"in Horeb,",H2722,Deuteronomy,KJV
1,Deuteronomy1:6,WORD,"saying,",H559,Deuteronomy,KJV
1,Deuteronomy1:6,WORD,Ye,,Deuteronomy,KJV
1,Deuteronomy1:6,PHRASE,have dwelt,H3427,Deuteronomy,KJV
1,Deuteronomy1:6,PHRASE,long enough,H7227,Deuteronomy,KJV
1,Deuteronomy1:6,WORD,in,H2022,Deuteronomy,KJV
1,Deuteronomy1:6,WORD,this,H2088,Deuteronomy,KJV
1,Deuteronomy1:6,WORD,mount:,H2022,Deuteronomy,KJV
1,Deuteronomy1:7,WORD,Turn,H6437,Deuteronomy,KJV
1,Deuteronomy1:7,WORD,"you,",,Deuteronomy,KJV
1,Deuteronomy1:7,PHRASE,"and take your journey,",H5265,Deuteronomy,KJV
1,Deuteronomy1:7,PHRASE,and go,H935,Deuteronomy,KJV
1,Deuteronomy1:7,PHRASE,to the mount,H2022,Deuteronomy,KJV
1,Deuteronomy1:7,PHRASE,"of the Amorites,",H567,Deuteronomy,KJV
1,Deuteronomy1:7,PHRASE,and unto,H413,Deuteronomy,KJV
1,Deuteronomy1:7,WORD,all,H3605,Deuteronomy,KJV
1,Deuteronomy1:7,PHRASE,[the places],,Deuteronomy,KJV
1,Deuteronomy1:7,PHRASE,"nigh thereunto,",H7934,Deuteronomy,KJV
1,Deuteronomy1:7,PHRASE,"in the plain,",H6160,Deuteronomy,KJV
1,Deuteronomy1:7,PHRASE,"in the hills,",H2022,Deuteronomy,KJV
1,Deuteronomy1:7,PHRASE,"and in the vale,",H8219,Deuteronomy,KJV
1,Deuteronomy1:7,PHRASE,"and in the south,",H5045,Deuteronomy,KJV
1,Deuteronomy1:7,PHRASE,and by,H2348,Deuteronomy,KJV
1,Deuteronomy1:7,PHRASE,the sea,H3220,Deuteronomy,KJV
1,Deuteronomy1:7,WORD,"side,",H2348,Deuteronomy,KJV
1,Deuteronomy1:7,PHRASE,to the land,H776,Deuteronomy,KJV
1,Deuteronomy1:7,PHRASE,"of the Canaanites,",H3669,Deuteronomy,KJV
1,Deuteronomy1:7,PHRASE,"and unto Lebanon,",H3844,Deuteronomy,KJV
1,Deuteronomy1:7,WORD,unto,H5704,Deuteronomy,KJV
1,Deuteronomy1:7,PHRASE,the great,H1419,Deuteronomy,KJV
1,Deuteronomy1:7,WORD,"river,",H5104,Deuteronomy,KJV
1,Deuteronomy1:7,PHRASE,the river,H5104,Deuteronomy,KJV
1,Deuteronomy1:7,WORD,Euphrates.,H6578,Deuteronomy,KJV
1,Deuteronomy1:8,WORD,"Behold,",H7200,Deuteronomy,KJV
1,Deuteronomy1:8,PHRASE,I have set,H5414,Deuteronomy,KJV
