bible_version,bible_book,bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id
KJV,Exodus,1,Exodus1:1,PHRASE,Now these,H428
KJV,Exodus,1,Exodus1:1,WORD,[are],
KJV,Exodus,1,Exodus1:1,PHRASE,the names,H8034
KJV,Exodus,1,Exodus1:1,PHRASE,of the children,H1121
KJV,Exodus,1,Exodus1:1,PHRASE,"of Israel,",H3478
KJV,Exodus,1,Exodus1:1,PHRASE,which came,H935
KJV,Exodus,1,Exodus1:1,PHRASE,into Egypt;,H4714
KJV,Exodus,1,Exodus1:1,PHRASE,every man,H376
KJV,Exodus,1,Exodus1:1,PHRASE,and his household,H1004
KJV,Exodus,1,Exodus1:1,WORD,came,H935
KJV,Exodus,1,Exodus1:1,WORD,with,H854
KJV,Exodus,1,Exodus1:1,WORD,Jacob.,H3290
KJV,Exodus,1,Exodus1:2,WORD,"Reuben,",H7205
KJV,Exodus,1,Exodus1:2,WORD,"Simeon,",H8095
KJV,Exodus,1,Exodus1:2,WORD,"Levi,",H3878
KJV,Exodus,1,Exodus1:2,PHRASE,"and Judah,",H3063
KJV,Exodus,1,Exodus1:3,WORD,"Issachar,",H3485
KJV,Exodus,1,Exodus1:3,WORD,"Zebulun,",H2074
KJV,Exodus,1,Exodus1:3,PHRASE,"and Benjamin,",H1144
KJV,Exodus,1,Exodus1:4,WORD,"Dan,",H1835
KJV,Exodus,1,Exodus1:4,PHRASE,"and Naphtali,",H5321
KJV,Exodus,1,Exodus1:4,WORD,"Gad,",H1410
KJV,Exodus,1,Exodus1:4,PHRASE,and Asher.,H836
KJV,Exodus,1,Exodus1:5,WORD,And,H1961
KJV,Exodus,1,Exodus1:5,WORD,all,H3605
KJV,Exodus,1,Exodus1:5,PHRASE,the souls,H5315
KJV,Exodus,1,Exodus1:5,PHRASE,that came out,H3318
KJV,Exodus,1,Exodus1:5,PHRASE,of the loins,H3409
KJV,Exodus,1,Exodus1:5,PHRASE,of Jacob,H3290
KJV,Exodus,1,Exodus1:5,WORD,were,H1961
KJV,Exodus,1,Exodus1:5,WORD,seventy,H7657
KJV,Exodus,1,Exodus1:5,WORD,souls:,H5315
KJV,Exodus,1,Exodus1:5,PHRASE,for Joseph,H3130
KJV,Exodus,1,Exodus1:5,WORD,was,H1961
KJV,Exodus,1,Exodus1:5,PHRASE,in Egypt,H4714
KJV,Exodus,1,Exodus1:5,WORD,[already].,
KJV,Exodus,1,Exodus1:6,WORD,And,H4191
KJV,Exodus,1,Exodus1:6,WORD,Joseph,H3130
KJV,Exodus,1,Exodus1:6,WORD,"died,",H4191
KJV,Exodus,1,Exodus1:6,PHRASE,and all,H3605
KJV,Exodus,1,Exodus1:6,PHRASE,"his brethren,",H251
KJV,Exodus,1,Exodus1:6,PHRASE,and all,H3605
KJV,Exodus,1,Exodus1:6,WORD,that,H1931
KJV,Exodus,1,Exodus1:6,WORD,generation.,H1755
KJV,Exodus,1,Exodus1:7,PHRASE,And the children,H1121
KJV,Exodus,1,Exodus1:7,PHRASE,of Israel,H3478
KJV,Exodus,1,Exodus1:7,PHRASE,"were fruitful,",H6509
KJV,Exodus,1,Exodus1:7,PHRASE,"and increased abundantly,",H8317
KJV,Exodus,1,Exodus1:7,PHRASE,"and multiplied,",H7235
KJV,Exodus,1,Exodus1:7,PHRASE,and waxed,H6105
KJV,Exodus,1,Exodus1:7,WORD,exceeding,H3966
KJV,Exodus,1,Exodus1:7,WORD,,H3966
KJV,Exodus,1,Exodus1:7,WORD,mighty;,H6105
KJV,Exodus,1,Exodus1:7,WORD,and,H4390
KJV,Exodus,1,Exodus1:7,PHRASE,the land,H776
KJV,Exodus,1,Exodus1:7,PHRASE,was filled,H4390
KJV,Exodus,1,Exodus1:7,PHRASE,with them.,H853
KJV,Exodus,1,Exodus1:8,PHRASE,Now there arose up,H6965
KJV,Exodus,1,Exodus1:8,WORD,a,H4428
KJV,Exodus,1,Exodus1:8,WORD,new,H2319
KJV,Exodus,1,Exodus1:8,WORD,king,H4428
KJV,Exodus,1,Exodus1:8,WORD,over,H5921
KJV,Exodus,1,Exodus1:8,WORD,"Egypt,",H4714
KJV,Exodus,1,Exodus1:8,WORD,which,H834
KJV,Exodus,1,Exodus1:8,WORD,knew,H3045
KJV,Exodus,1,Exodus1:8,WORD,not,H3808
KJV,Exodus,1,Exodus1:8,WORD,Joseph.,H3130
KJV,Exodus,1,Exodus1:9,PHRASE,And he said,H559
KJV,Exodus,1,Exodus1:9,WORD,unto,H413
KJV,Exodus,1,Exodus1:9,PHRASE,"his people,",H5971
KJV,Exodus,1,Exodus1:9,WORD,"Behold,",H2009
KJV,Exodus,1,Exodus1:9,PHRASE,the people,H5971
KJV,Exodus,1,Exodus1:9,PHRASE,of the children,H1121
KJV,Exodus,1,Exodus1:9,PHRASE,of Israel,H3478
KJV,Exodus,1,Exodus1:9,WORD,[are],
KJV,Exodus,1,Exodus1:9,WORD,more,H7227
KJV,Exodus,1,Exodus1:9,PHRASE,and mightier,H6099
KJV,Exodus,1,Exodus1:9,PHRASE,than we:,H4480
KJV,Exodus,1,Exodus1:10,PHRASE,"Come on,",H3051
KJV,Exodus,1,Exodus1:10,PHRASE,let us deal wisely,H2449
KJV,Exodus,1,Exodus1:10,PHRASE,with them;,
KJV,Exodus,1,Exodus1:10,WORD,lest,H6435
KJV,Exodus,1,Exodus1:10,PHRASE,"they multiply,",H7235
KJV,Exodus,1,Exodus1:10,PHRASE,"and it come to pass,",H1961
KJV,Exodus,1,Exodus1:10,WORD,"that,",H3254
KJV,Exodus,1,Exodus1:10,WORD,when,H3588
KJV,Exodus,1,Exodus1:10,PHRASE,there falleth out,H7122
KJV,Exodus,1,Exodus1:10,PHRASE,"any war,",H4421
KJV,Exodus,1,Exodus1:10,WORD,they,H1931
KJV,Exodus,1,Exodus1:10,WORD,join,H3254
KJV,Exodus,1,Exodus1:10,WORD,also,H1571
KJV,Exodus,1,Exodus1:10,WORD,unto,H5921
KJV,Exodus,1,Exodus1:10,PHRASE,"our enemies,",H8130
KJV,Exodus,1,Exodus1:10,PHRASE,and fight,H3898
KJV,Exodus,1,Exodus1:10,PHRASE,"against us,",
KJV,Exodus,1,Exodus1:10,PHRASE,and [so] get them up,H5927
KJV,Exodus,1,Exodus1:10,PHRASE,out of,H4480
KJV,Exodus,1,Exodus1:10,PHRASE,the land.,H776
KJV,Exodus,1,Exodus1:11,PHRASE,Therefore they did set,H7760
KJV,Exodus,1,Exodus1:11,PHRASE,over them,H5921
KJV,Exodus,1,Exodus1:11,WORD,,H8269
KJV,Exodus,1,Exodus1:11,WORD,taskmasters,H4522
KJV,Exodus,1,Exodus1:11,WORD,to,H4616
