,bible_version,bible_book,bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id
0,KJV,Genesis,1,Genesis1:1,PHRASE,In the beginning,H7225
1,KJV,Genesis,1,Genesis1:1,WORD,God,H430
2,KJV,Genesis,1,Genesis1:1,WORD,created,H1254
3,KJV,Genesis,1,Genesis1:1,WORD,,H853
4,KJV,Genesis,1,Genesis1:1,PHRASE,the heaven,H8064
5,KJV,Genesis,1,Genesis1:1,WORD,and,H853
6,KJV,Genesis,1,Genesis1:1,PHRASE,the earth.,H776
7,KJV,Genesis,1,Genesis1:2,PHRASE,And the earth,H776
8,KJV,Genesis,1,Genesis1:2,WORD,was,H1961
9,KJV,Genesis,1,Genesis1:2,PHRASE,"without form,",H8414
10,KJV,Genesis,1,Genesis1:2,PHRASE,and void;,H922
11,KJV,Genesis,1,Genesis1:2,PHRASE,and darkness,H2822
12,KJV,Genesis,1,Genesis1:2,WORD,[was],
13,KJV,Genesis,1,Genesis1:2,WORD,upon,H5921
14,KJV,Genesis,1,Genesis1:2,PHRASE,the face,H6440
15,KJV,Genesis,1,Genesis1:2,PHRASE,of the deep.,H8415
16,KJV,Genesis,1,Genesis1:2,PHRASE,And the Spirit,H7307
17,KJV,Genesis,1,Genesis1:2,PHRASE,of God,H430
18,KJV,Genesis,1,Genesis1:2,WORD,moved,H7363
19,KJV,Genesis,1,Genesis1:2,WORD,upon,H5921
20,KJV,Genesis,1,Genesis1:2,PHRASE,the face,H6440
21,KJV,Genesis,1,Genesis1:2,PHRASE,of the waters.,H4325
22,KJV,Genesis,1,Genesis1:3,WORD,And,H559
23,KJV,Genesis,1,Genesis1:3,WORD,God,H430
24,KJV,Genesis,1,Genesis1:3,WORD,"said,",H559
25,KJV,Genesis,1,Genesis1:3,PHRASE,Let there be,H1961
26,KJV,Genesis,1,Genesis1:3,WORD,light:,H216
27,KJV,Genesis,1,Genesis1:3,PHRASE,and there was,H1961
28,KJV,Genesis,1,Genesis1:3,WORD,light.,H216
29,KJV,Genesis,1,Genesis1:4,WORD,And,H7200
30,KJV,Genesis,1,Genesis1:4,WORD,God,H430
31,KJV,Genesis,1,Genesis1:4,WORD,saw,H7200
32,KJV,Genesis,1,Genesis1:4,WORD,,H853
33,KJV,Genesis,1,Genesis1:4,PHRASE,"the light,",H216
34,KJV,Genesis,1,Genesis1:4,WORD,that,H3588
35,KJV,Genesis,1,Genesis1:4,PHRASE,[it was],
36,KJV,Genesis,1,Genesis1:4,WORD,good:,H2896
37,KJV,Genesis,1,Genesis1:4,WORD,and,H914
38,KJV,Genesis,1,Genesis1:4,WORD,God,H430
39,KJV,Genesis,1,Genesis1:4,WORD,divided,H914
40,KJV,Genesis,1,Genesis1:4,WORD,,H996
