bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,bible_book,version
1,Leviticus1:1,WORD,And,H7121,Leviticus,KJV
1,Leviticus1:1,PHRASE,the LORD,H3068,Leviticus,KJV
1,Leviticus1:1,WORD,called,H7121,Leviticus,KJV
1,Leviticus1:1,WORD,unto,H413,Leviticus,KJV
1,Leviticus1:1,WORD,"Moses,",H4872,Leviticus,KJV
1,Leviticus1:1,PHRASE,and spake,H1696,Leviticus,KJV
1,Leviticus1:1,PHRASE,unto him,H413,Leviticus,KJV
1,Leviticus1:1,PHRASE,out of the tabernacle,H168,Leviticus,KJV
1,Leviticus1:1,PHRASE,"of the congregation,",H4150,Leviticus,KJV
1,Leviticus1:1,WORD,"saying,",H559,Leviticus,KJV
1,Leviticus1:2,WORD,Speak,H1696,Leviticus,KJV
1,Leviticus1:2,WORD,unto,H413,Leviticus,KJV
1,Leviticus1:2,PHRASE,the children,H1121,Leviticus,KJV
1,Leviticus1:2,PHRASE,"of Israel,",H3478,Leviticus,KJV
1,Leviticus1:2,PHRASE,and say,H559,Leviticus,KJV
1,Leviticus1:2,PHRASE,"unto them,",H413,Leviticus,KJV
1,Leviticus1:2,WORD,If,H3588,Leviticus,KJV
1,Leviticus1:2,PHRASE,any man,H120,Leviticus,KJV
1,Leviticus1:2,PHRASE,of you,H4480,Leviticus,KJV
1,Leviticus1:2,WORD,bring,H7126,Leviticus,KJV
1,Leviticus1:2,PHRASE,an offering,H7133,Leviticus,KJV
1,Leviticus1:2,PHRASE,"unto the LORD,",H3068,Leviticus,KJV
1,Leviticus1:2,PHRASE,ye shall bring,H7126,Leviticus,KJV
1,Leviticus1:2,PHRASE,your offering,H7133,Leviticus,KJV
1,Leviticus1:2,WORD,of,H4480,Leviticus,KJV
1,Leviticus1:2,PHRASE,"the cattle,",H929,Leviticus,KJV
1,Leviticus1:2,WORD,[even],,Leviticus,KJV
1,Leviticus1:2,WORD,of,H4480,Leviticus,KJV
1,Leviticus1:2,PHRASE,"the herd,",H1241,Leviticus,KJV
1,Leviticus1:2,PHRASE,and of,H4480,Leviticus,KJV
1,Leviticus1:2,PHRASE,the flock.,H6629,Leviticus,KJV
1,Leviticus1:3,WORD,If,H518,Leviticus,KJV
1,Leviticus1:3,PHRASE,his offering,H7133,Leviticus,KJV
1,Leviticus1:3,WORD,[be],,Leviticus,KJV
1,Leviticus1:3,PHRASE,a burnt sacrifice,H5930,Leviticus,KJV
1,Leviticus1:3,WORD,of,H4480,Leviticus,KJV
1,Leviticus1:3,PHRASE,"the herd,",H1241,Leviticus,KJV
1,Leviticus1:3,PHRASE,let him offer,H7126,Leviticus,KJV
1,Leviticus1:3,PHRASE,a male,H2145,Leviticus,KJV
1,Leviticus1:3,PHRASE,without blemish:,H8549,Leviticus,KJV
1,Leviticus1:3,PHRASE,he shall offer,H7126,Leviticus,KJV
1,Leviticus1:3,WORD,it,H853,Leviticus,KJV
1,Leviticus1:3,PHRASE,of his own voluntary will,H7522,Leviticus,KJV
1,Leviticus1:3,WORD,at,H413,Leviticus,KJV
1,Leviticus1:3,PHRASE,the door,H6607,Leviticus,KJV
1,Leviticus1:3,PHRASE,of the tabernacle,H168,Leviticus,KJV
1,Leviticus1:3,PHRASE,of the congregation,H4150,Leviticus,KJV
1,Leviticus1:3,WORD,before,H6440,Leviticus,KJV
1,Leviticus1:3,PHRASE,the LORD.,H3068,Leviticus,KJV
1,Leviticus1:4,PHRASE,And he shall put,H5564,Leviticus,KJV
1,Leviticus1:4,PHRASE,his hand,H3027,Leviticus,KJV
1,Leviticus1:4,WORD,upon,H5921,Leviticus,KJV
1,Leviticus1:4,PHRASE,the head,H7218,Leviticus,KJV
1,Leviticus1:4,PHRASE,of the burnt offering;,H5930,Leviticus,KJV
1,Leviticus1:4,PHRASE,and it shall be accepted,H7521,Leviticus,KJV
1,Leviticus1:4,PHRASE,for him,,Leviticus,KJV
1,Leviticus1:4,PHRASE,to make atonement,H3722,Leviticus,KJV
1,Leviticus1:4,PHRASE,for him.,H5921,Leviticus,KJV
1,Leviticus1:5,PHRASE,And he shall kill,H7819,Leviticus,KJV
1,Leviticus1:5,PHRASE,the bullock,H1241,Leviticus,KJV
1,Leviticus1:5,WORD,,H1121,Leviticus,KJV
1,Leviticus1:5,WORD,before,H6440,Leviticus,KJV
1,Leviticus1:5,PHRASE,the LORD:,H3068,Leviticus,KJV
1,Leviticus1:5,WORD,and,H7126,Leviticus,KJV
1,Leviticus1:5,PHRASE,"the priests,",H3548,Leviticus,KJV
1,Leviticus1:5,WORD,Aaron's,H175,Leviticus,KJV
1,Leviticus1:5,WORD,"sons,",H1121,Leviticus,KJV
1,Leviticus1:5,PHRASE,shall bring,H7126,Leviticus,KJV
1,Leviticus1:5,PHRASE,"the blood,",H1818,Leviticus,KJV
1,Leviticus1:5,PHRASE,and sprinkle,H2236,Leviticus,KJV
1,Leviticus1:5,PHRASE,the blood,H1818,Leviticus,KJV
1,Leviticus1:5,PHRASE,round about,H5439,Leviticus,KJV
1,Leviticus1:5,WORD,upon,H5921,Leviticus,KJV
1,Leviticus1:5,PHRASE,the altar,H4196,Leviticus,KJV
1,Leviticus1:5,WORD,that,H834,Leviticus,KJV
1,Leviticus1:5,PHRASE,[is by],,Leviticus,KJV
1,Leviticus1:5,PHRASE,the door,H6607,Leviticus,KJV
1,Leviticus1:5,PHRASE,of the tabernacle,H168,Leviticus,KJV
1,Leviticus1:5,PHRASE,of the congregation.,H4150,Leviticus,KJV
1,Leviticus1:6,PHRASE,And he shall flay,H6584,Leviticus,KJV
1,Leviticus1:6,PHRASE,"the burnt offering,",H5930,Leviticus,KJV
1,Leviticus1:6,PHRASE,and cut,H5408,Leviticus,KJV
1,Leviticus1:6,WORD,it,H853,Leviticus,KJV
1,Leviticus1:6,PHRASE,into his pieces.,H5409,Leviticus,KJV
1,Leviticus1:7,WORD,And,H5414,Leviticus,KJV
1,Leviticus1:7,PHRASE,the sons,H1121,Leviticus,KJV
1,Leviticus1:7,PHRASE,of Aaron,H175,Leviticus,KJV
1,Leviticus1:7,PHRASE,the priest,H3548,Leviticus,KJV
1,Leviticus1:7,PHRASE,shall put,H5414,Leviticus,KJV
1,Leviticus1:7,WORD,fire,H784,Leviticus,KJV
1,Leviticus1:7,WORD,upon,H5921,Leviticus,KJV
1,Leviticus1:7,PHRASE,"the altar,",H4196,Leviticus,KJV
1,Leviticus1:7,PHRASE,and lay,H6186,Leviticus,KJV
1,Leviticus1:7,PHRASE,the wood,H6086,Leviticus,KJV
1,Leviticus1:7,PHRASE,in order,H6186,Leviticus,KJV
1,Leviticus1:7,WORD,upon,H5921,Leviticus,KJV
1,Leviticus1:7,PHRASE,the fire:,H784,Leviticus,KJV
1,Leviticus1:8,WORD,And,H6186,Leviticus,KJV
1,Leviticus1:8,PHRASE,"the priests,",H3548,Leviticus,KJV
1,Leviticus1:8,WORD,Aaron's,H175,Leviticus,KJV
1,Leviticus1:8,WORD,"sons,",H1121,Leviticus,KJV
1,Leviticus1:8,PHRASE,shall lay,H6186,Leviticus,KJV
1,Leviticus1:8,PHRASE,"the parts,",H5409,Leviticus,KJV
1,Leviticus1:8,PHRASE,"the head,",H7218,Leviticus,KJV
1,Leviticus1:8,WORD,and,H853,Leviticus,KJV
1,Leviticus1:8,PHRASE,"the fat,",H6309,Leviticus,KJV
1,Leviticus1:8,PHRASE,in order,H6186,Leviticus,KJV
1,Leviticus1:8,WORD,upon,H5921,Leviticus,KJV
1,Leviticus1:8,PHRASE,the wood,H6086,Leviticus,KJV
1,Leviticus1:8,WORD,that,H834,Leviticus,KJV
1,Leviticus1:8,WORD,[is],,Leviticus,KJV
1,Leviticus1:8,WORD,on,H5921,Leviticus,KJV
1,Leviticus1:8,PHRASE,the fire,H784,Leviticus,KJV
1,Leviticus1:8,WORD,which,H834,Leviticus,KJV
1,Leviticus1:8,WORD,[is],,Leviticus,KJV
1,Leviticus1:8,WORD,upon,H5921,Leviticus,KJV
1,Leviticus1:8,PHRASE,the altar:,H4196,Leviticus,KJV
1,Leviticus1:9,PHRASE,But his inwards,H7130,Leviticus,KJV
1,Leviticus1:9,PHRASE,and his legs,H3767,Leviticus,KJV
1,Leviticus1:9,PHRASE,shall he wash,H7364,Leviticus,KJV
1,Leviticus1:9,PHRASE,in water:,H4325,Leviticus,KJV
1,Leviticus1:9,WORD,and,H6999,Leviticus,KJV
1,Leviticus1:9,PHRASE,the priest,H3548,Leviticus,KJV
1,Leviticus1:9,PHRASE,shall burn,H6999,Leviticus,KJV
1,Leviticus1:9,WORD,all,H3605,Leviticus,KJV
1,Leviticus1:9,PHRASE,"on the altar,",H4196,Leviticus,KJV
1,Leviticus1:9,PHRASE,[to be],,Leviticus,KJV
1,Leviticus1:9,PHRASE,"a burnt sacrifice,",H5930,Leviticus,KJV
1,Leviticus1:9,PHRASE,"an offering made by fire,",H801,Leviticus,KJV
1,Leviticus1:9,PHRASE,of a,H7381,Leviticus,KJV
1,Leviticus1:9,WORD,sweet,H5207,Leviticus,KJV
1,Leviticus1:9,WORD,savour,H7381,Leviticus,KJV
1,Leviticus1:9,PHRASE,unto the LORD.,H3068,Leviticus,KJV
1,Leviticus1:10,PHRASE,And if,H518,Leviticus,KJV
1,Leviticus1:10,PHRASE,his offering,H7133,Leviticus,KJV
1,Leviticus1:10,WORD,[be],,Leviticus,KJV
1,Leviticus1:10,WORD,of,H4480,Leviticus,KJV
1,Leviticus1:10,PHRASE,"the flocks,",H6629,Leviticus,KJV
1,Leviticus1:10,WORD,"[namely],",,Leviticus,KJV
1,Leviticus1:10,WORD,of,H4480,Leviticus,KJV
1,Leviticus1:10,PHRASE,"the sheep,",H3775,Leviticus,KJV
1,Leviticus1:10,WORD,or,H176,Leviticus,KJV
1,Leviticus1:10,WORD,of,H4480,Leviticus,KJV
1,Leviticus1:10,PHRASE,"the goats,",H5795,Leviticus,KJV
1,Leviticus1:10,PHRASE,for a burnt sacrifice;,H5930,Leviticus,KJV
1,Leviticus1:10,PHRASE,he shall bring it,H7126,Leviticus,KJV
1,Leviticus1:10,PHRASE,a male,H2145,Leviticus,KJV
1,Leviticus1:10,PHRASE,without blemish.,H8549,Leviticus,KJV
1,Leviticus1:11,PHRASE,And he shall kill,H7819,Leviticus,KJV
1,Leviticus1:11,WORD,it,H853,Leviticus,KJV
1,Leviticus1:11,WORD,on,H5921,Leviticus,KJV
1,Leviticus1:11,PHRASE,the side,H3409,Leviticus,KJV
1,Leviticus1:11,PHRASE,of the altar,H4196,Leviticus,KJV
1,Leviticus1:11,WORD,northward,H6828,Leviticus,KJV
1,Leviticus1:11,WORD,before,H6440,Leviticus,KJV
1,Leviticus1:11,PHRASE,the LORD:,H3068,Leviticus,KJV
1,Leviticus1:11,WORD,and,H2236,Leviticus,KJV
1,Leviticus1:11,PHRASE,"the priests,",H3548,Leviticus,KJV
1,Leviticus1:11,WORD,Aaron's,H175,Leviticus,KJV
1,Leviticus1:11,WORD,"sons,",H1121,Leviticus,KJV
1,Leviticus1:11,PHRASE,shall sprinkle,H2236,Leviticus,KJV
1,Leviticus1:11,PHRASE,his blood,H1818,Leviticus,KJV
1,Leviticus1:11,PHRASE,round about,H5439,Leviticus,KJV
1,Leviticus1:11,WORD,upon,H5921,Leviticus,KJV
1,Leviticus1:11,PHRASE,the altar.,H4196,Leviticus,KJV
