bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,bible_book,version
1,Numbers1:1,WORD,And,H1696,Numbers,KJV
1,Numbers1:1,PHRASE,the LORD,H3068,Numbers,KJV
1,Numbers1:1,WORD,spake,H1696,Numbers,KJV
1,Numbers1:1,WORD,unto,H413,Numbers,KJV
1,Numbers1:1,WORD,Moses,H4872,Numbers,KJV
1,Numbers1:1,PHRASE,in the wilderness,H4057,Numbers,KJV
1,Numbers1:1,PHRASE,"of Sinai,",H5514,Numbers,KJV
1,Numbers1:1,PHRASE,in the tabernacle,H168,Numbers,KJV
1,Numbers1:1,PHRASE,"of the congregation,",H4150,Numbers,KJV
1,Numbers1:1,PHRASE,on the first,H259,Numbers,KJV
1,Numbers1:1,WORD,[day],,Numbers,KJV
1,Numbers1:1,PHRASE,of the second,H8145,Numbers,KJV
1,Numbers1:1,PHRASE,"month, in",H2320,Numbers,KJV
1,Numbers1:1,PHRASE,the second,H8145,Numbers,KJV
1,Numbers1:1,PHRASE,year after,H8141,Numbers,KJV
1,Numbers1:1,PHRASE,they were come out,H3318,Numbers,KJV
1,Numbers1:1,PHRASE,of the land,H776,Numbers,KJV
1,Numbers1:1,PHRASE,"of Egypt,",H4714,Numbers,KJV
1,Numbers1:1,WORD,"saying,",H559,Numbers,KJV
1,Numbers1:2,PHRASE,Take ye,H5375,Numbers,KJV
1,Numbers1:2,PHRASE,the sum,H7218,Numbers,KJV
1,Numbers1:2,PHRASE,of all,H3605,Numbers,KJV
1,Numbers1:2,PHRASE,the congregation,H5712,Numbers,KJV
1,Numbers1:2,PHRASE,of the children,H1121,Numbers,KJV
1,Numbers1:2,PHRASE,"of Israel,",H3478,Numbers,KJV
1,Numbers1:2,PHRASE,"after their families,",H4940,Numbers,KJV
1,Numbers1:2,PHRASE,by the house,H1004,Numbers,KJV
1,Numbers1:2,PHRASE,"of their fathers,",H1,Numbers,KJV
1,Numbers1:2,PHRASE,with the number,H4557,Numbers,KJV
1,Numbers1:2,PHRASE,"of [their] names,",H8034,Numbers,KJV
1,Numbers1:2,WORD,every,H3605,Numbers,KJV
1,Numbers1:2,WORD,male,H2145,Numbers,KJV
1,Numbers1:2,PHRASE,by their polls;,H1538,Numbers,KJV
1,Numbers1:3,WORD,From,H1121,Numbers,KJV
1,Numbers1:3,WORD,twenty,H6242,Numbers,KJV
1,Numbers1:3,WORD,years,H8141,Numbers,KJV
1,Numbers1:3,WORD,old,H1121,Numbers,KJV
1,Numbers1:3,PHRASE,"and upward,",H4605,Numbers,KJV
1,Numbers1:3,WORD,all,H3605,Numbers,KJV
1,Numbers1:3,PHRASE,that are able to go forth,H3318,Numbers,KJV
1,Numbers1:3,PHRASE,to war,H6635,Numbers,KJV
1,Numbers1:3,PHRASE,in Israel:,H3478,Numbers,KJV
1,Numbers1:3,WORD,thou,H859,Numbers,KJV
1,Numbers1:3,PHRASE,and Aaron,H175,Numbers,KJV
1,Numbers1:3,PHRASE,shall number,H6485,Numbers,KJV
1,Numbers1:3,WORD,them,H853,Numbers,KJV
1,Numbers1:3,PHRASE,by their armies.,H6635,Numbers,KJV
1,Numbers1:4,PHRASE,And with you,H854,Numbers,KJV
1,Numbers1:4,PHRASE,there shall be,H1961,Numbers,KJV
1,Numbers1:4,PHRASE,a man,H376,Numbers,KJV
1,Numbers1:4,PHRASE,of every,H376,Numbers,KJV
1,Numbers1:4,WORD,tribe;,H4294,Numbers,KJV
1,Numbers1:4,PHRASE,every one,H376,Numbers,KJV
1,Numbers1:4,WORD,head,H7218,Numbers,KJV
1,Numbers1:4,PHRASE,of the house,H1004,Numbers,KJV
1,Numbers1:4,WORD,of,H1,Numbers,KJV
1,Numbers1:4,WORD,his,H1931,Numbers,KJV
1,Numbers1:4,WORD,fathers.,H1,Numbers,KJV
1,Numbers1:5,PHRASE,And these,H428,Numbers,KJV
1,Numbers1:5,WORD,[are],,Numbers,KJV
1,Numbers1:5,PHRASE,the names,H8034,Numbers,KJV
1,Numbers1:5,PHRASE,of the men,H376,Numbers,KJV
1,Numbers1:5,WORD,that,H834,Numbers,KJV
1,Numbers1:5,PHRASE,shall stand,H5975,Numbers,KJV
1,Numbers1:5,PHRASE,with you:,H854,Numbers,KJV
1,Numbers1:5,WORD,of,H7205,Numbers,KJV
1,Numbers1:5,PHRASE,[the tribe of],,Numbers,KJV
1,Numbers1:5,WORD,Reuben;,H7205,Numbers,KJV
1,Numbers1:5,WORD,Elizur,H468,Numbers,KJV
1,Numbers1:5,PHRASE,the son,H1121,Numbers,KJV
1,Numbers1:5,PHRASE,of Shedeur.,H7707,Numbers,KJV
1,Numbers1:6,PHRASE,Of Simeon;,H8095,Numbers,KJV
1,Numbers1:6,WORD,Shelumiel,H8017,Numbers,KJV
1,Numbers1:6,PHRASE,the son,H1121,Numbers,KJV
1,Numbers1:6,PHRASE,of Zurishaddai.,H6701,Numbers,KJV
1,Numbers1:7,PHRASE,Of Judah;,H3063,Numbers,KJV
1,Numbers1:7,WORD,Nahshon,H5177,Numbers,KJV
1,Numbers1:7,PHRASE,the son,H1121,Numbers,KJV
1,Numbers1:7,PHRASE,of Amminadab.,H5992,Numbers,KJV
1,Numbers1:8,PHRASE,Of Issachar;,H3485,Numbers,KJV
1,Numbers1:8,WORD,Nethaneel,H5417,Numbers,KJV
1,Numbers1:8,PHRASE,the son,H1121,Numbers,KJV
1,Numbers1:8,PHRASE,of Zuar.,H6686,Numbers,KJV
1,Numbers1:9,PHRASE,Of Zebulun;,H2074,Numbers,KJV
1,Numbers1:9,WORD,Eliab,H446,Numbers,KJV
1,Numbers1:9,PHRASE,the son,H1121,Numbers,KJV
1,Numbers1:9,PHRASE,of Helon.,H2497,Numbers,KJV
1,Numbers1:10,PHRASE,Of the children,H1121,Numbers,KJV
1,Numbers1:10,PHRASE,of Joseph:,H3130,Numbers,KJV
1,Numbers1:10,PHRASE,of Ephraim;,H669,Numbers,KJV
1,Numbers1:10,WORD,Elishama,H476,Numbers,KJV
1,Numbers1:10,PHRASE,the son,H1121,Numbers,KJV
1,Numbers1:10,PHRASE,of Ammihud:,H5989,Numbers,KJV
1,Numbers1:10,PHRASE,of Manasseh;,H4519,Numbers,KJV
1,Numbers1:10,WORD,Gamaliel,H1583,Numbers,KJV
1,Numbers1:10,PHRASE,the son,H1121,Numbers,KJV
