bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,bible_book,version
1,Deuteronomy1:1,WORD,,G3778,Deuteronomy,LXX
1,Deuteronomy1:1,WORD,,G3588,Deuteronomy,LXX
1,Deuteronomy1:1,WORD,,G3056,Deuteronomy,LXX
1,Deuteronomy1:1,WORD,,G3739,Deuteronomy,LXX
1,Deuteronomy1:1,WORD,,G2980,Deuteronomy,LXX
1,Deuteronomy1:1,WORD,,G3475,Deuteronomy,LXX
1,Deuteronomy1:1,WORD,,G3956,Deuteronomy,LXX
1,Deuteronomy1:1,WORD,,G2474,Deuteronomy,LXX
1,Deuteronomy1:1,WORD,,G4008,Deuteronomy,LXX
1,Deuteronomy1:1,WORD,,G3588,Deuteronomy,LXX
1,Deuteronomy1:1,WORD,,G2446,Deuteronomy,LXX
1,Deuteronomy1:1,WORD,,G1722,Deuteronomy,LXX
1,Deuteronomy1:1,WORD,,G3588,Deuteronomy,LXX
1,Deuteronomy1:1,WORD,,G2048,Deuteronomy,LXX
1,Deuteronomy1:1,WORD,,G4314,Deuteronomy,LXX
1,Deuteronomy1:1,WORD,,G1424,Deuteronomy,LXX
1,Deuteronomy1:1,WORD,,G4139,Deuteronomy,LXX
1,Deuteronomy1:1,WORD,,G3588,Deuteronomy,LXX
1,Deuteronomy1:1,WORD,,G2063,Deuteronomy,LXX
1,Deuteronomy1:1,WORD,,G303,Deuteronomy,LXX
1,Deuteronomy1:1,WORD,,G3319,Deuteronomy,LXX
1,Deuteronomy1:1,WORD,,,Deuteronomy,LXX
1,Deuteronomy1:1,WORD,,,Deuteronomy,LXX
1,Deuteronomy1:1,WORD,,G2532,Deuteronomy,LXX
1,Deuteronomy1:1,WORD,,,Deuteronomy,LXX
1,Deuteronomy1:1,WORD,,G2532,Deuteronomy,LXX
1,Deuteronomy1:1,WORD,,,Deuteronomy,LXX
1,Deuteronomy1:1,WORD,,G2532,Deuteronomy,LXX
1,Deuteronomy1:1,WORD,,,Deuteronomy,LXX
1,Deuteronomy1:2,WORD,,G1733,Deuteronomy,LXX
1,Deuteronomy1:2,WORD,,G2250,Deuteronomy,LXX
1,Deuteronomy1:2,WORD,,G1722,Deuteronomy,LXX
1,Deuteronomy1:2,WORD,,,Deuteronomy,LXX
1,Deuteronomy1:2,WORD,,G3598,Deuteronomy,LXX
1,Deuteronomy1:2,WORD,,G1909,Deuteronomy,LXX
1,Deuteronomy1:2,WORD,,G3735,Deuteronomy,LXX
1,Deuteronomy1:2,WORD,,,Deuteronomy,LXX
1,Deuteronomy1:2,WORD,,G2193,Deuteronomy,LXX
1,Deuteronomy1:2,WORD,,,Deuteronomy,LXX
1,Deuteronomy1:2,WORD,,,Deuteronomy,LXX
1,Deuteronomy1:3,WORD,,G2532,Deuteronomy,LXX
1,Deuteronomy1:3,WORD,,G1096,Deuteronomy,LXX
1,Deuteronomy1:3,WORD,,G1722,Deuteronomy,LXX
1,Deuteronomy1:3,WORD,,G3588,Deuteronomy,LXX
1,Deuteronomy1:3,WORD,,,Deuteronomy,LXX
1,Deuteronomy1:3,WORD,,G2094,Deuteronomy,LXX
1,Deuteronomy1:3,WORD,,G1722,Deuteronomy,LXX
1,Deuteronomy1:3,WORD,,G3588,Deuteronomy,LXX
1,Deuteronomy1:3,WORD,,G1734,Deuteronomy,LXX
1,Deuteronomy1:3,WORD,,G3376,Deuteronomy,LXX
1,Deuteronomy1:3,WORD,,G1520,Deuteronomy,LXX
1,Deuteronomy1:3,WORD,,G3588,Deuteronomy,LXX
1,Deuteronomy1:3,WORD,,G3375,Deuteronomy,LXX
1,Deuteronomy1:3,WORD,,G2980,Deuteronomy,LXX
1,Deuteronomy1:3,WORD,,G3475,Deuteronomy,LXX
1,Deuteronomy1:3,WORD,,G4314,Deuteronomy,LXX
1,Deuteronomy1:3,WORD,,G3956,Deuteronomy,LXX
1,Deuteronomy1:3,WORD,,G5207,Deuteronomy,LXX
1,Deuteronomy1:3,WORD,,G2474,Deuteronomy,LXX
1,Deuteronomy1:3,WORD,,G2596,Deuteronomy,LXX
1,Deuteronomy1:3,WORD,,G3956,Deuteronomy,LXX
1,Deuteronomy1:3,WORD,,G3745,Deuteronomy,LXX
1,Deuteronomy1:3,WORD,,G1781,Deuteronomy,LXX
1,Deuteronomy1:3,WORD,,G2962,Deuteronomy,LXX
1,Deuteronomy1:3,WORD,,G846,Deuteronomy,LXX
1,Deuteronomy1:3,WORD,,G4314,Deuteronomy,LXX
1,Deuteronomy1:3,WORD,,G846,Deuteronomy,LXX
1,Deuteronomy1:4,WORD,,G3326,Deuteronomy,LXX
1,Deuteronomy1:4,WORD,,G3588,Deuteronomy,LXX
1,Deuteronomy1:4,WORD,,G3960,Deuteronomy,LXX
1,Deuteronomy1:4,WORD,,,Deuteronomy,LXX
1,Deuteronomy1:4,WORD,,G935,Deuteronomy,LXX
1,Deuteronomy1:4,WORD,,,Deuteronomy,LXX
1,Deuteronomy1:4,WORD,,G3588,Deuteronomy,LXX
1,Deuteronomy1:4,WORD,,G2730,Deuteronomy,LXX
1,Deuteronomy1:4,WORD,,G1722,Deuteronomy,LXX
1,Deuteronomy1:4,WORD,,,Deuteronomy,LXX
1,Deuteronomy1:4,WORD,,G2532,Deuteronomy,LXX
1,Deuteronomy1:4,WORD,,,Deuteronomy,LXX
1,Deuteronomy1:4,WORD,,G935,Deuteronomy,LXX
1,Deuteronomy1:4,WORD,,G3588,Deuteronomy,LXX
1,Deuteronomy1:4,WORD,,,Deuteronomy,LXX
1,Deuteronomy1:4,WORD,,G3588,Deuteronomy,LXX
1,Deuteronomy1:4,WORD,,G2730,Deuteronomy,LXX
1,Deuteronomy1:4,WORD,,G1722,Deuteronomy,LXX
1,Deuteronomy1:4,WORD,,,Deuteronomy,LXX
1,Deuteronomy1:4,WORD,,G2532,Deuteronomy,LXX
1,Deuteronomy1:4,WORD,,G1722,Deuteronomy,LXX
1,Deuteronomy1:4,WORD,,,Deuteronomy,LXX
1,Deuteronomy1:5,WORD,,G1722,Deuteronomy,LXX
1,Deuteronomy1:5,WORD,,G3588,Deuteronomy,LXX
1,Deuteronomy1:5,WORD,,G4008,Deuteronomy,LXX
1,Deuteronomy1:5,WORD,,G3588,Deuteronomy,LXX
1,Deuteronomy1:5,WORD,,G2446,Deuteronomy,LXX
1,Deuteronomy1:5,WORD,,G1722,Deuteronomy,LXX
1,Deuteronomy1:5,WORD,,G1093,Deuteronomy,LXX
1,Deuteronomy1:5,WORD,,,Deuteronomy,LXX
1,Deuteronomy1:5,WORD,,G757,Deuteronomy,LXX
1,Deuteronomy1:5,WORD,,G3475,Deuteronomy,LXX
1,Deuteronomy1:5,WORD,,G1285,Deuteronomy,LXX
1,Deuteronomy1:5,WORD,,G3588,Deuteronomy,LXX
1,Deuteronomy1:5,WORD,,G3551,Deuteronomy,LXX
1,Deuteronomy1:5,WORD,,G3778,Deuteronomy,LXX
1,Deuteronomy1:5,WORD,,G3004,Deuteronomy,LXX
1,Deuteronomy1:6,WORD,,G2962,Deuteronomy,LXX
1,Deuteronomy1:6,WORD,,G3588,Deuteronomy,LXX
1,Deuteronomy1:6,WORD,,G2316,Deuteronomy,LXX
1,Deuteronomy1:6,WORD,,G1473,Deuteronomy,LXX
1,Deuteronomy1:6,WORD,,G2980,Deuteronomy,LXX
1,Deuteronomy1:6,WORD,,G1473,Deuteronomy,LXX
1,Deuteronomy1:6,WORD,,G1722,Deuteronomy,LXX
1,Deuteronomy1:6,WORD,,,Deuteronomy,LXX
1,Deuteronomy1:6,WORD,,G3004,Deuteronomy,LXX
1,Deuteronomy1:6,WORD,,G2427,Deuteronomy,LXX
1,Deuteronomy1:6,WORD,,G4771,Deuteronomy,LXX
1,Deuteronomy1:6,WORD,,G2730,Deuteronomy,LXX
1,Deuteronomy1:6,WORD,,G1722,Deuteronomy,LXX
1,Deuteronomy1:6,WORD,,G3588,Deuteronomy,LXX
1,Deuteronomy1:6,WORD,,G3735,Deuteronomy,LXX
1,Deuteronomy1:6,WORD,,G3778,Deuteronomy,LXX
