bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,bible_book,version
1,Exodus1:1,WORD,,G3778,Exodus,LXX
1,Exodus1:1,WORD,,G3588,Exodus,LXX
1,Exodus1:1,WORD,,G3686,Exodus,LXX
1,Exodus1:1,WORD,,G3588,Exodus,LXX
1,Exodus1:1,WORD,,G5207,Exodus,LXX
1,Exodus1:1,WORD,,G2474,Exodus,LXX
1,Exodus1:1,WORD,,G3588,Exodus,LXX
1,Exodus1:1,WORD,,G1531,Exodus,LXX
1,Exodus1:1,WORD,,G1519,Exodus,LXX
1,Exodus1:1,WORD,,G125,Exodus,LXX
1,Exodus1:1,WORD,,G260,Exodus,LXX
1,Exodus1:1,WORD,,G2384,Exodus,LXX
1,Exodus1:1,WORD,,G3588,Exodus,LXX
1,Exodus1:1,WORD,,G3962,Exodus,LXX
1,Exodus1:1,WORD,,G846,Exodus,LXX
1,Exodus1:1,WORD,,G1538,Exodus,LXX
1,Exodus1:1,WORD,,,Exodus,LXX
1,Exodus1:1,WORD,,G846,Exodus,LXX
1,Exodus1:1,WORD,,G1525,Exodus,LXX
1,Exodus1:2,WORD,,,Exodus,LXX
1,Exodus1:2,WORD,,G4826,Exodus,LXX
1,Exodus1:2,WORD,,G3017,Exodus,LXX
1,Exodus1:2,WORD,,G2455,Exodus,LXX
1,Exodus1:3,WORD,,,Exodus,LXX
1,Exodus1:3,WORD,,G2194,Exodus,LXX
1,Exodus1:3,WORD,,G2532,Exodus,LXX
1,Exodus1:3,WORD,,G958,Exodus,LXX
1,Exodus1:4,WORD,,,Exodus,LXX
1,Exodus1:4,WORD,,G2532,Exodus,LXX
1,Exodus1:4,WORD,,,Exodus,LXX
1,Exodus1:4,WORD,,G1045,Exodus,LXX
1,Exodus1:4,WORD,,G2532,Exodus,LXX
1,Exodus1:4,WORD,,G768,Exodus,LXX
1,Exodus1:5,WORD,,G2501,Exodus,LXX
1,Exodus1:5,WORD,,G1161,Exodus,LXX
1,Exodus1:5,WORD,,G1510,Exodus,LXX
