bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,bible_book,version
1,Leviticus1:1,WORD,,G2532,Leviticus,LXX
1,Leviticus1:1,WORD,,,Leviticus,LXX
1,Leviticus1:1,WORD,,G3475,Leviticus,LXX
1,Leviticus1:1,WORD,,G2532,Leviticus,LXX
1,Leviticus1:1,WORD,,G2980,Leviticus,LXX
1,Leviticus1:1,WORD,,G2962,Leviticus,LXX
1,Leviticus1:1,WORD,,G846,Leviticus,LXX
1,Leviticus1:1,WORD,,G1537,Leviticus,LXX
1,Leviticus1:1,WORD,,G3588,Leviticus,LXX
1,Leviticus1:1,WORD,,G4633,Leviticus,LXX
1,Leviticus1:1,WORD,,G3588,Leviticus,LXX
1,Leviticus1:1,WORD,,G3142,Leviticus,LXX
1,Leviticus1:1,WORD,,G3004,Leviticus,LXX
1,Leviticus1:2,WORD,,G2980,Leviticus,LXX
1,Leviticus1:2,WORD,,G3588,Leviticus,LXX
1,Leviticus1:2,WORD,,G5207,Leviticus,LXX
1,Leviticus1:2,WORD,,G2474,Leviticus,LXX
1,Leviticus1:2,WORD,,G2532,Leviticus,LXX
1,Leviticus1:2,WORD,,G2036,Leviticus,LXX
1,Leviticus1:2,WORD,,G4314,Leviticus,LXX
1,Leviticus1:2,WORD,,G846,Leviticus,LXX
1,Leviticus1:2,WORD,,G444,Leviticus,LXX
1,Leviticus1:2,WORD,,G1537,Leviticus,LXX
1,Leviticus1:2,WORD,,G4771,Leviticus,LXX
1,Leviticus1:2,WORD,,G1437,Leviticus,LXX
1,Leviticus1:2,WORD,,G4317,Leviticus,LXX
1,Leviticus1:2,WORD,,G1435,Leviticus,LXX
1,Leviticus1:2,WORD,,G3588,Leviticus,LXX
1,Leviticus1:2,WORD,,G2962,Leviticus,LXX
1,Leviticus1:2,WORD,,G575,Leviticus,LXX
1,Leviticus1:2,WORD,,G3588,Leviticus,LXX
1,Leviticus1:2,WORD,,G2934,Leviticus,LXX
1,Leviticus1:2,WORD,,G575,Leviticus,LXX
1,Leviticus1:2,WORD,,G3588,Leviticus,LXX
1,Leviticus1:2,WORD,,G1016,Leviticus,LXX
1,Leviticus1:2,WORD,,G2532,Leviticus,LXX
1,Leviticus1:2,WORD,,G575,Leviticus,LXX
1,Leviticus1:2,WORD,,G3588,Leviticus,LXX
1,Leviticus1:2,WORD,,G4263,Leviticus,LXX
1,Leviticus1:2,WORD,,G4374,Leviticus,LXX
1,Leviticus1:2,WORD,,G3588,Leviticus,LXX
1,Leviticus1:2,WORD,,G1435,Leviticus,LXX
1,Leviticus1:2,WORD,,G4771,Leviticus,LXX
1,Leviticus1:3,WORD,,G1437,Leviticus,LXX
1,Leviticus1:3,WORD,,G3646,Leviticus,LXX
1,Leviticus1:3,WORD,,G3588,Leviticus,LXX
1,Leviticus1:3,WORD,,G1435,Leviticus,LXX
1,Leviticus1:3,WORD,,G846,Leviticus,LXX
1,Leviticus1:3,WORD,,G1537,Leviticus,LXX
1,Leviticus1:3,WORD,,G3588,Leviticus,LXX
1,Leviticus1:3,WORD,,G1016,Leviticus,LXX
1,Leviticus1:3,WORD,,G730,Leviticus,LXX
1,Leviticus1:3,WORD,,G299,Leviticus,LXX
1,Leviticus1:3,WORD,,G4317,Leviticus,LXX
1,Leviticus1:3,WORD,,G4314,Leviticus,LXX
1,Leviticus1:3,WORD,,G3588,Leviticus,LXX
1,Leviticus1:3,WORD,,G2374,Leviticus,LXX
1,Leviticus1:3,WORD,,G3588,Leviticus,LXX
1,Leviticus1:3,WORD,,G4633,Leviticus,LXX
1,Leviticus1:3,WORD,,G3588,Leviticus,LXX
1,Leviticus1:3,WORD,,G3142,Leviticus,LXX
1,Leviticus1:3,WORD,,G4374,Leviticus,LXX
1,Leviticus1:3,WORD,,G846,Leviticus,LXX
1,Leviticus1:3,WORD,,G1184,Leviticus,LXX
1,Leviticus1:3,WORD,,G1726,Leviticus,LXX
1,Leviticus1:3,WORD,,G2962,Leviticus,LXX
1,Leviticus1:4,WORD,,G2532,Leviticus,LXX
1,Leviticus1:4,WORD,,G2007,Leviticus,LXX
1,Leviticus1:4,WORD,,G3588,Leviticus,LXX
1,Leviticus1:4,WORD,,G5495,Leviticus,LXX
1,Leviticus1:4,WORD,,G1909,Leviticus,LXX
1,Leviticus1:4,WORD,,G3588,Leviticus,LXX
1,Leviticus1:4,WORD,,G2776,Leviticus,LXX
1,Leviticus1:4,WORD,,G3588,Leviticus,LXX
1,Leviticus1:4,WORD,,,Leviticus,LXX
1,Leviticus1:4,WORD,,G1184,Leviticus,LXX
1,Leviticus1:4,WORD,,G846,Leviticus,LXX
1,Leviticus1:4,WORD,,,Leviticus,LXX
1,Leviticus1:4,WORD,,G4012,Leviticus,LXX
1,Leviticus1:4,WORD,,G846,Leviticus,LXX
1,Leviticus1:5,WORD,,G2532,Leviticus,LXX
1,Leviticus1:5,WORD,,G4969,Leviticus,LXX
1,Leviticus1:5,WORD,,G3588,Leviticus,LXX
1,Leviticus1:5,WORD,,G3448,Leviticus,LXX
1,Leviticus1:5,WORD,,G1725,Leviticus,LXX
1,Leviticus1:5,WORD,,G2962,Leviticus,LXX
1,Leviticus1:5,WORD,,G2532,Leviticus,LXX
1,Leviticus1:5,WORD,,G4374,Leviticus,LXX
1,Leviticus1:5,WORD,,G3588,Leviticus,LXX
1,Leviticus1:5,WORD,,G5207,Leviticus,LXX
1,Leviticus1:5,WORD,,G2,Leviticus,LXX
1,Leviticus1:5,WORD,,G3588,Leviticus,LXX
1,Leviticus1:5,WORD,,G2409,Leviticus,LXX
1,Leviticus1:5,WORD,,G3588,Leviticus,LXX
1,Leviticus1:5,WORD,,G129,Leviticus,LXX
1,Leviticus1:5,WORD,,G2532,Leviticus,LXX
1,Leviticus1:5,WORD,,,Leviticus,LXX
1,Leviticus1:5,WORD,,G3588,Leviticus,LXX
1,Leviticus1:5,WORD,,G129,Leviticus,LXX
1,Leviticus1:5,WORD,,G1909,Leviticus,LXX
1,Leviticus1:5,WORD,,G3588,Leviticus,LXX
1,Leviticus1:5,WORD,,G2379,Leviticus,LXX
1,Leviticus1:5,WORD,,G2945,Leviticus,LXX
1,Leviticus1:5,WORD,,G3588,Leviticus,LXX
1,Leviticus1:5,WORD,,G1909,Leviticus,LXX
1,Leviticus1:5,WORD,,G3588,Leviticus,LXX
1,Leviticus1:5,WORD,,G2374,Leviticus,LXX
1,Leviticus1:5,WORD,,G3588,Leviticus,LXX
1,Leviticus1:5,WORD,,G4633,Leviticus,LXX
1,Leviticus1:5,WORD,,G3588,Leviticus,LXX
1,Leviticus1:5,WORD,,G3142,Leviticus,LXX
1,Leviticus1:6,WORD,,G2532,Leviticus,LXX
1,Leviticus1:6,WORD,,,Leviticus,LXX
1,Leviticus1:6,WORD,,G3588,Leviticus,LXX
1,Leviticus1:6,WORD,,G3646,Leviticus,LXX
1,Leviticus1:6,WORD,,,Leviticus,LXX
1,Leviticus1:6,WORD,,G846,Leviticus,LXX
1,Leviticus1:6,WORD,,G2596,Leviticus,LXX
1,Leviticus1:6,WORD,,G3196,Leviticus,LXX
1,Leviticus1:7,WORD,,G2532,Leviticus,LXX
1,Leviticus1:7,WORD,,G2007,Leviticus,LXX
1,Leviticus1:7,WORD,,G3588,Leviticus,LXX
1,Leviticus1:7,WORD,,G5207,Leviticus,LXX
1,Leviticus1:7,WORD,,G2,Leviticus,LXX
1,Leviticus1:7,WORD,,G3588,Leviticus,LXX
1,Leviticus1:7,WORD,,G2409,Leviticus,LXX
1,Leviticus1:7,WORD,,G4442,Leviticus,LXX
1,Leviticus1:7,WORD,,G1909,Leviticus,LXX
1,Leviticus1:7,WORD,,G3588,Leviticus,LXX
1,Leviticus1:7,WORD,,G2379,Leviticus,LXX
1,Leviticus1:7,WORD,,G2532,Leviticus,LXX
1,Leviticus1:7,WORD,,,Leviticus,LXX
1,Leviticus1:7,WORD,,G3586,Leviticus,LXX
1,Leviticus1:7,WORD,,G1909,Leviticus,LXX
1,Leviticus1:7,WORD,,G3588,Leviticus,LXX
1,Leviticus1:7,WORD,,G4442,Leviticus,LXX
1,Leviticus1:8,WORD,,G2532,Leviticus,LXX
1,Leviticus1:8,WORD,,,Leviticus,LXX
1,Leviticus1:8,WORD,,G3588,Leviticus,LXX
1,Leviticus1:8,WORD,,G5207,Leviticus,LXX
1,Leviticus1:8,WORD,,G2,Leviticus,LXX
1,Leviticus1:8,WORD,,G3588,Leviticus,LXX
1,Leviticus1:8,WORD,,G2409,Leviticus,LXX
1,Leviticus1:8,WORD,,G3588,Leviticus,LXX
1,Leviticus1:8,WORD,,,Leviticus,LXX
1,Leviticus1:8,WORD,,G2532,Leviticus,LXX
1,Leviticus1:8,WORD,,G3588,Leviticus,LXX
1,Leviticus1:8,WORD,,G2776,Leviticus,LXX
1,Leviticus1:8,WORD,,G2532,Leviticus,LXX
1,Leviticus1:8,WORD,,G3588,Leviticus,LXX
1,Leviticus1:8,WORD,,,Leviticus,LXX
1,Leviticus1:8,WORD,,G1909,Leviticus,LXX
1,Leviticus1:8,WORD,,G3588,Leviticus,LXX
1,Leviticus1:8,WORD,,G3586,Leviticus,LXX
1,Leviticus1:8,WORD,,G3588,Leviticus,LXX
1,Leviticus1:8,WORD,,G1909,Leviticus,LXX
1,Leviticus1:8,WORD,,G3588,Leviticus,LXX
1,Leviticus1:8,WORD,,G4442,Leviticus,LXX
1,Leviticus1:8,WORD,,G3588,Leviticus,LXX
1,Leviticus1:8,WORD,,G1510,Leviticus,LXX
1,Leviticus1:8,WORD,,G1909,Leviticus,LXX
1,Leviticus1:8,WORD,,G3588,Leviticus,LXX
1,Leviticus1:8,WORD,,G2379,Leviticus,LXX
1,Leviticus1:9,WORD,,G3588,Leviticus,LXX
1,Leviticus1:9,WORD,,G1161,Leviticus,LXX
1,Leviticus1:9,WORD,,,Leviticus,LXX
1,Leviticus1:9,WORD,,G2532,Leviticus,LXX
1,Leviticus1:9,WORD,,G3588,Leviticus,LXX
1,Leviticus1:9,WORD,,G4228,Leviticus,LXX
1,Leviticus1:9,WORD,,G4150,Leviticus,LXX
1,Leviticus1:9,WORD,,G5204,Leviticus,LXX
1,Leviticus1:9,WORD,,G2532,Leviticus,LXX
1,Leviticus1:9,WORD,,G2007,Leviticus,LXX
1,Leviticus1:9,WORD,,G3588,Leviticus,LXX
