bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,bible_book,version
1,Numbers1:1,WORD,,G2532,Numbers,LXX
1,Numbers1:1,WORD,,G2980,Numbers,LXX
1,Numbers1:1,WORD,,G2962,Numbers,LXX
1,Numbers1:1,WORD,,G4314,Numbers,LXX
1,Numbers1:1,WORD,,G3475,Numbers,LXX
1,Numbers1:1,WORD,,G1722,Numbers,LXX
1,Numbers1:1,WORD,,G3588,Numbers,LXX
1,Numbers1:1,WORD,,G2048,Numbers,LXX
1,Numbers1:1,WORD,,G3588,Numbers,LXX
1,Numbers1:1,WORD,,G4614,Numbers,LXX
1,Numbers1:1,WORD,,G1722,Numbers,LXX
1,Numbers1:1,WORD,,G3588,Numbers,LXX
1,Numbers1:1,WORD,,G4633,Numbers,LXX
1,Numbers1:1,WORD,,G3588,Numbers,LXX
1,Numbers1:1,WORD,,G3142,Numbers,LXX
1,Numbers1:1,WORD,,G1722,Numbers,LXX
1,Numbers1:1,WORD,,G1520,Numbers,LXX
1,Numbers1:1,WORD,,G3588,Numbers,LXX
1,Numbers1:1,WORD,,G3375,Numbers,LXX
1,Numbers1:1,WORD,,G3588,Numbers,LXX
1,Numbers1:1,WORD,,G1208,Numbers,LXX
1,Numbers1:1,WORD,,G2094,Numbers,LXX
1,Numbers1:1,WORD,,G1208,Numbers,LXX
1,Numbers1:1,WORD,,G1831,Numbers,LXX
1,Numbers1:1,WORD,,G846,Numbers,LXX
1,Numbers1:1,WORD,,G1537,Numbers,LXX
1,Numbers1:1,WORD,,G1093,Numbers,LXX
1,Numbers1:1,WORD,,G125,Numbers,LXX
1,Numbers1:1,WORD,,G3004,Numbers,LXX
1,Numbers1:2,WORD,,G2983,Numbers,LXX
1,Numbers1:2,WORD,,G746,Numbers,LXX
1,Numbers1:2,WORD,,G3956,Numbers,LXX
1,Numbers1:2,WORD,,G4864,Numbers,LXX
1,Numbers1:2,WORD,,G5207,Numbers,LXX
1,Numbers1:2,WORD,,G2474,Numbers,LXX
1,Numbers1:2,WORD,,G2596,Numbers,LXX
1,Numbers1:2,WORD,,G4772,Numbers,LXX
1,Numbers1:2,WORD,,G846,Numbers,LXX
1,Numbers1:2,WORD,,G2596,Numbers,LXX
1,Numbers1:2,WORD,,G3624,Numbers,LXX
1,Numbers1:2,WORD,,G3965,Numbers,LXX
1,Numbers1:2,WORD,,G846,Numbers,LXX
1,Numbers1:2,WORD,,G2596,Numbers,LXX
1,Numbers1:2,WORD,,G706,Numbers,LXX
1,Numbers1:2,WORD,,G1537,Numbers,LXX
1,Numbers1:2,WORD,,G3686,Numbers,LXX
1,Numbers1:2,WORD,,G846,Numbers,LXX
1,Numbers1:2,WORD,,G2596,Numbers,LXX
1,Numbers1:2,WORD,,G2776,Numbers,LXX
1,Numbers1:2,WORD,,G846,Numbers,LXX
1,Numbers1:2,WORD,,G3956,Numbers,LXX
1,Numbers1:2,WORD,,G730,Numbers,LXX
1,Numbers1:3,WORD,,G575,Numbers,LXX
1,Numbers1:3,WORD,,,Numbers,LXX
1,Numbers1:3,WORD,,G2532,Numbers,LXX
1,Numbers1:3,WORD,,G1883,Numbers,LXX
1,Numbers1:3,WORD,,G3956,Numbers,LXX
1,Numbers1:3,WORD,,G3588,Numbers,LXX
1,Numbers1:3,WORD,,G1607,Numbers,LXX
1,Numbers1:3,WORD,,G1722,Numbers,LXX
1,Numbers1:3,WORD,,G1411,Numbers,LXX
1,Numbers1:3,WORD,,G2474,Numbers,LXX
1,Numbers1:3,WORD,,G1980,Numbers,LXX
1,Numbers1:3,WORD,,G846,Numbers,LXX
1,Numbers1:3,WORD,,G4862,Numbers,LXX
1,Numbers1:3,WORD,,G1411,Numbers,LXX
1,Numbers1:3,WORD,,G846,Numbers,LXX
1,Numbers1:3,WORD,,G4771,Numbers,LXX
1,Numbers1:3,WORD,,G2532,Numbers,LXX
1,Numbers1:3,WORD,,G2,Numbers,LXX
1,Numbers1:3,WORD,,G1980,Numbers,LXX
1,Numbers1:3,WORD,,G846,Numbers,LXX
1,Numbers1:4,WORD,,G2532,Numbers,LXX
1,Numbers1:4,WORD,,G3326,Numbers,LXX
1,Numbers1:4,WORD,,G4771,Numbers,LXX
1,Numbers1:4,WORD,,G1510,Numbers,LXX
1,Numbers1:4,WORD,,G1538,Numbers,LXX
1,Numbers1:4,WORD,,G2596,Numbers,LXX
1,Numbers1:4,WORD,,G5443,Numbers,LXX
1,Numbers1:4,WORD,,G1538,Numbers,LXX
1,Numbers1:4,WORD,,G758,Numbers,LXX
1,Numbers1:4,WORD,,G2596,Numbers,LXX
1,Numbers1:4,WORD,,G3624,Numbers,LXX
1,Numbers1:4,WORD,,G3965,Numbers,LXX
1,Numbers1:4,WORD,,G1510,Numbers,LXX
1,Numbers1:5,WORD,,G2532,Numbers,LXX
1,Numbers1:5,WORD,,G3778,Numbers,LXX
1,Numbers1:5,WORD,,G3588,Numbers,LXX
1,Numbers1:5,WORD,,G3686,Numbers,LXX
1,Numbers1:5,WORD,,G3588,Numbers,LXX
1,Numbers1:5,WORD,,G435,Numbers,LXX
1,Numbers1:5,WORD,,G3748,Numbers,LXX
1,Numbers1:5,WORD,,G3936,Numbers,LXX
1,Numbers1:5,WORD,,G3326,Numbers,LXX
1,Numbers1:5,WORD,,G4771,Numbers,LXX
1,Numbers1:5,WORD,,G3588,Numbers,LXX
1,Numbers1:5,WORD,,,Numbers,LXX
1,Numbers1:5,WORD,,,Numbers,LXX
1,Numbers1:5,WORD,,G5207,Numbers,LXX
1,Numbers1:5,WORD,,,Numbers,LXX
1,Numbers1:6,WORD,,G3588,Numbers,LXX
1,Numbers1:6,WORD,,G4826,Numbers,LXX
1,Numbers1:6,WORD,,,Numbers,LXX
1,Numbers1:6,WORD,,G5207,Numbers,LXX
1,Numbers1:6,WORD,,,Numbers,LXX
1,Numbers1:7,WORD,,G3588,Numbers,LXX
1,Numbers1:7,WORD,,G2448,Numbers,LXX
1,Numbers1:7,WORD,,G3476,Numbers,LXX
1,Numbers1:7,WORD,,G5207,Numbers,LXX
1,Numbers1:7,WORD,,G284,Numbers,LXX
1,Numbers1:8,WORD,,G3588,Numbers,LXX
1,Numbers1:8,WORD,,,Numbers,LXX
1,Numbers1:8,WORD,,G3482,Numbers,LXX
1,Numbers1:8,WORD,,G5207,Numbers,LXX
1,Numbers1:8,WORD,,,Numbers,LXX
1,Numbers1:9,WORD,,G3588,Numbers,LXX
1,Numbers1:9,WORD,,G2194,Numbers,LXX
1,Numbers1:9,WORD,,,Numbers,LXX
1,Numbers1:9,WORD,,G5207,Numbers,LXX
1,Numbers1:9,WORD,,,Numbers,LXX
1,Numbers1:10,WORD,,G3588,Numbers,LXX
1,Numbers1:10,WORD,,G5207,Numbers,LXX
1,Numbers1:10,WORD,,G2501,Numbers,LXX
1,Numbers1:10,WORD,,G3588,Numbers,LXX
1,Numbers1:10,WORD,,G2187,Numbers,LXX
1,Numbers1:10,WORD,,,Numbers,LXX
1,Numbers1:10,WORD,,G5207,Numbers,LXX
1,Numbers1:10,WORD,,,Numbers,LXX
1,Numbers1:10,WORD,,G3588,Numbers,LXX
1,Numbers1:10,WORD,,G3128,Numbers,LXX
1,Numbers1:10,WORD,,G1059,Numbers,LXX
1,Numbers1:10,WORD,,G5207,Numbers,LXX
1,Numbers1:10,WORD,,,Numbers,LXX
1,Numbers1:11,WORD,,G3588,Numbers,LXX
1,Numbers1:11,WORD,,G958,Numbers,LXX
1,Numbers1:11,WORD,,,Numbers,LXX
1,Numbers1:11,WORD,,G5207,Numbers,LXX
