bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,bible_book,version
1,Deuteronomy1:1,WORD,These,H428,Deuteronomy,NIV
1,Deuteronomy1:1,PHRASE,are the words,H1697,Deuteronomy,NIV
1,Deuteronomy1:1,WORD,which,H834,Deuteronomy,NIV
1,Deuteronomy1:1,WORD,Moses,H4872,Deuteronomy,NIV
1,Deuteronomy1:1,WORD,spoke,H1696,Deuteronomy,NIV
1,Deuteronomy1:1,PHRASE,to all,H3605,Deuteronomy,NIV
1,Deuteronomy1:1,WORD,Israel,H3478,Deuteronomy,NIV
1,Deuteronomy1:1,WORD,across,H5676,Deuteronomy,NIV
1,Deuteronomy1:1,PHRASE,the Jordan,H3383,Deuteronomy,NIV
1,Deuteronomy1:1,PHRASE,in the wilderness,H4057,Deuteronomy,NIV
1,Deuteronomy1:1,PHRASE,in the Arabah,H6160,Deuteronomy,NIV
1,Deuteronomy1:1,WORD,opposite,H4136,Deuteronomy,NIV
1,Deuteronomy1:1,WORD,Suph,H5489,Deuteronomy,NIV
1,Deuteronomy1:1,WORD,between,H996,Deuteronomy,NIV
1,Deuteronomy1:1,WORD,Paran,H6290,Deuteronomy,NIV
1,Deuteronomy1:1,PHRASE,and Tophel,H8603,Deuteronomy,NIV
1,Deuteronomy1:1,PHRASE,and Laban,H3837,Deuteronomy,NIV
1,Deuteronomy1:1,PHRASE,and Hazeroth,H2698,Deuteronomy,NIV
1,Deuteronomy1:1,PHRASE,and Dizahab,H1774,Deuteronomy,NIV
1,Deuteronomy1:2,PHRASE,It is eleven,H259,Deuteronomy,NIV
1,Deuteronomy1:2,WORD,,H6240,Deuteronomy,NIV
1,Deuteronomy1:2,WORD,days,H3117,Deuteronomy,NIV
1,Deuteronomy1:2,PHRASE,journey from Horeb,H2722,Deuteronomy,NIV
1,Deuteronomy1:2,PHRASE,by the way,H1870,Deuteronomy,NIV
1,Deuteronomy1:2,PHRASE,of Mount,H2022,Deuteronomy,NIV
1,Deuteronomy1:2,WORD,Seir,H8165,Deuteronomy,NIV
1,Deuteronomy1:2,PHRASE,to Kadesh-barnea,H6947,Deuteronomy,NIV
1,Deuteronomy1:3,PHRASE,In the fortieth,H705,Deuteronomy,NIV
1,Deuteronomy1:3,WORD,year,H8141,Deuteronomy,NIV
1,Deuteronomy1:3,PHRASE,on the first,H259,Deuteronomy,NIV
1,Deuteronomy1:3,PHRASE,day of the eleventh,H6249,Deuteronomy,NIV
1,Deuteronomy1:3,WORD,,H6240,Deuteronomy,NIV
1,Deuteronomy1:3,WORD,month,H2320,Deuteronomy,NIV
