,bible_version,bible_book,bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id
0,NIV,Genesis,1,Genesis1:1,PHRASE,In the beginning,H7225
1,NIV,Genesis,1,Genesis1:1,WORD,God,H430
2,NIV,Genesis,1,Genesis1:1,WORD,created,H1254
3,NIV,Genesis,1,Genesis1:1,PHRASE,the heavens,H8064
4,NIV,Genesis,1,Genesis1:1,WORD,and,H853
5,NIV,Genesis,1,Genesis1:1,PHRASE,the earth,H776
6,NIV,Genesis,1,Genesis1:2,PHRASE,The earth,H776
7,NIV,Genesis,1,Genesis1:2,WORD,was,H1961
8,NIV,Genesis,1,Genesis1:2,WORD,formless,H8414
9,NIV,Genesis,1,Genesis1:2,PHRASE,and void,H922
10,NIV,Genesis,1,Genesis1:2,PHRASE,and darkness,H2822
11,NIV,Genesis,1,Genesis1:2,PHRASE,was over,H5921
12,NIV,Genesis,1,Genesis1:2,PHRASE,the surface,H6440
13,NIV,Genesis,1,Genesis1:2,PHRASE,of the deep,H8415
14,NIV,Genesis,1,Genesis1:2,PHRASE,and the Spirit,H7307
15,NIV,Genesis,1,Genesis1:2,PHRASE,of God,H430
16,NIV,Genesis,1,Genesis1:2,PHRASE,was moving,H7363
17,NIV,Genesis,1,Genesis1:2,WORD,over,H5921
18,NIV,Genesis,1,Genesis1:2,PHRASE,the surface,H6440
19,NIV,Genesis,1,Genesis1:2,PHRASE,of the waters,H4325
20,NIV,Genesis,1,Genesis1:3,WORD,Then,H559
21,NIV,Genesis,1,Genesis1:3,WORD,God,H430
22,NIV,Genesis,1,Genesis1:3,WORD,said,H559
23,NIV,Genesis,1,Genesis1:3,PHRASE,Let there be,H1961
24,NIV,Genesis,1,Genesis1:3,WORD,light,H216
25,NIV,Genesis,1,Genesis1:3,PHRASE,and there was,H1961
26,NIV,Genesis,1,Genesis1:3,WORD,light,H216
27,NIV,Genesis,1,Genesis1:4,WORD,God,H430
28,NIV,Genesis,1,Genesis1:4,WORD,saw,H7200
29,NIV,Genesis,1,Genesis1:4,WORD,that,H3588
30,NIV,Genesis,1,Genesis1:4,PHRASE,the light,H216
31,NIV,Genesis,1,Genesis1:4,PHRASE,was good,H2896
32,NIV,Genesis,1,Genesis1:4,WORD,and,H914
33,NIV,Genesis,1,Genesis1:4,WORD,God,H430
34,NIV,Genesis,1,Genesis1:4,WORD,separated,H914
35,NIV,Genesis,1,Genesis1:4,PHRASE,the light,H216
36,NIV,Genesis,1,Genesis1:4,WORD,from,H996
37,NIV,Genesis,1,Genesis1:4,PHRASE,the darkness,H2822
38,NIV,Genesis,1,Genesis1:5,WORD,God,H430
39,NIV,Genesis,1,Genesis1:5,WORD,called,H7121
40,NIV,Genesis,1,Genesis1:5,PHRASE,the light,H216
41,NIV,Genesis,1,Genesis1:5,WORD,day,H3117
42,NIV,Genesis,1,Genesis1:5,PHRASE,and the darkness,H2822
43,NIV,Genesis,1,Genesis1:5,PHRASE,He called,H7121
44,NIV,Genesis,1,Genesis1:5,WORD,night,H3915
45,NIV,Genesis,1,Genesis1:5,PHRASE,And there was,H1961
46,NIV,Genesis,1,Genesis1:5,WORD,evening,H6153
47,NIV,Genesis,1,Genesis1:5,PHRASE,and there was,H1961
48,NIV,Genesis,1,Genesis1:5,WORD,morning,H1242
49,NIV,Genesis,1,Genesis1:5,WORD,one,H259
50,NIV,Genesis,1,Genesis1:5,WORD,day,H3117
51,NIV,Genesis,1,Genesis1:6,WORD,Then,H559
52,NIV,Genesis,1,Genesis1:6,WORD,God,H430
53,NIV,Genesis,1,Genesis1:6,WORD,said,H559
54,NIV,Genesis,1,Genesis1:6,PHRASE,Let there be,H1961
55,NIV,Genesis,1,Genesis1:6,PHRASE,an expanse,H7549
56,NIV,Genesis,1,Genesis1:6,PHRASE,in the midst,H8432
57,NIV,Genesis,1,Genesis1:6,PHRASE,of the waters,H4325
58,NIV,Genesis,1,Genesis1:6,PHRASE,and let it,H1961
59,NIV,Genesis,1,Genesis1:6,WORD,separate,H914
60,NIV,Genesis,1,Genesis1:6,PHRASE,the waters,H4325
61,NIV,Genesis,1,Genesis1:6,WORD,from,H996
62,NIV,Genesis,1,Genesis1:6,PHRASE,the waters,H4325
63,NIV,Genesis,1,Genesis1:7,WORD,God,H430
64,NIV,Genesis,1,Genesis1:7,WORD,made,H6213
65,NIV,Genesis,1,Genesis1:7,PHRASE,the expanse,H7549
66,NIV,Genesis,1,Genesis1:7,PHRASE,and separated,H914
67,NIV,Genesis,1,Genesis1:7,PHRASE,the waters,H4325
68,NIV,Genesis,1,Genesis1:7,WORD,which,H834
69,NIV,Genesis,1,Genesis1:7,PHRASE,were below,H8478
70,NIV,Genesis,1,Genesis1:7,PHRASE,the expanse,H7549
71,NIV,Genesis,1,Genesis1:7,WORD,from,H996
72,NIV,Genesis,1,Genesis1:7,PHRASE,the waters,H4325
73,NIV,Genesis,1,Genesis1:7,WORD,which,H834
74,NIV,Genesis,1,Genesis1:7,PHRASE,were above,H5921
75,NIV,Genesis,1,Genesis1:7,PHRASE,the expanse,H7549
76,NIV,Genesis,1,Genesis1:7,PHRASE,and it was,H1961
77,NIV,Genesis,1,Genesis1:7,WORD,so,H3651
78,NIV,Genesis,1,Genesis1:8,WORD,God,H430
79,NIV,Genesis,1,Genesis1:8,WORD,called,H7121
80,NIV,Genesis,1,Genesis1:8,PHRASE,the expanse,H7549
81,NIV,Genesis,1,Genesis1:8,WORD,heaven,H8064
82,NIV,Genesis,1,Genesis1:8,PHRASE,And there was,H1961
83,NIV,Genesis,1,Genesis1:8,WORD,evening,H6153
84,NIV,Genesis,1,Genesis1:8,PHRASE,and there was,H1961
85,NIV,Genesis,1,Genesis1:8,WORD,morning,H1242
86,NIV,Genesis,1,Genesis1:8,WORD,a,H3117
87,NIV,Genesis,1,Genesis1:8,WORD,second,H8145
88,NIV,Genesis,1,Genesis1:8,WORD,day,H3117
89,NIV,Genesis,1,Genesis1:9,WORD,Then,H559
90,NIV,Genesis,1,Genesis1:9,WORD,God,H430
91,NIV,Genesis,1,Genesis1:9,WORD,said,H559
92,NIV,Genesis,1,Genesis1:9,WORD,Let,H6960
93,NIV,Genesis,1,Genesis1:9,PHRASE,the waters,H4325
94,NIV,Genesis,1,Genesis1:9,WORD,below,H8478
95,NIV,Genesis,1,Genesis1:9,PHRASE,the heavens,H8064
96,NIV,Genesis,1,Genesis1:9,PHRASE,be gathered,H6960
97,NIV,Genesis,1,Genesis1:9,WORD,into,H413
98,NIV,Genesis,1,Genesis1:9,WORD,one,H259
99,NIV,Genesis,1,Genesis1:9,WORD,place,H4725
100,NIV,Genesis,1,Genesis1:9,PHRASE,and let,H7200
101,NIV,Genesis,1,Genesis1:9,PHRASE,the dry land,H3004
102,NIV,Genesis,1,Genesis1:9,WORD,appear,H7200
103,NIV,Genesis,1,Genesis1:9,PHRASE,and it was,H1961
104,NIV,Genesis,1,Genesis1:9,WORD,so,H3651
105,NIV,Genesis,1,Genesis1:10,WORD,God,H430
106,NIV,Genesis,1,Genesis1:10,WORD,called,H7121
107,NIV,Genesis,1,Genesis1:10,PHRASE,the dry land,H3004
108,NIV,Genesis,1,Genesis1:10,WORD,earth,H776
109,NIV,Genesis,1,Genesis1:10,PHRASE,and the gathering,H4723
110,NIV,Genesis,1,Genesis1:10,PHRASE,of the waters,H4325
111,NIV,Genesis,1,Genesis1:10,PHRASE,He called,H7121
112,NIV,Genesis,1,Genesis1:10,WORD,seas,H3220
113,NIV,Genesis,1,Genesis1:10,WORD,and,H7200
114,NIV,Genesis,1,Genesis1:10,WORD,God,H430
115,NIV,Genesis,1,Genesis1:10,WORD,saw,H7200
116,NIV,Genesis,1,Genesis1:10,WORD,that,H3588
117,NIV,Genesis,1,Genesis1:10,PHRASE,it was,
118,NIV,Genesis,1,Genesis1:10,WORD,good,H2896
119,NIV,Genesis,1,Genesis1:11,WORD,Then,H559
120,NIV,Genesis,1,Genesis1:11,WORD,God,H430
121,NIV,Genesis,1,Genesis1:11,WORD,said,H559
122,NIV,Genesis,1,Genesis1:11,WORD,Let,H1876
123,NIV,Genesis,1,Genesis1:11,PHRASE,the earth,H776
124,NIV,Genesis,1,Genesis1:11,WORD,sprout,H1876
125,NIV,Genesis,1,Genesis1:11,WORD,vegetation,H1877
126,NIV,Genesis,1,Genesis1:11,WORD,plants,H6212
127,NIV,Genesis,1,Genesis1:11,WORD,yielding,H2232
128,NIV,Genesis,1,Genesis1:11,WORD,seed,H2233
129,NIV,Genesis,1,Genesis1:11,WORD,and,
130,NIV,Genesis,1,Genesis1:11,WORD,fruit,H6529
131,NIV,Genesis,1,Genesis1:11,WORD,trees,H6086
132,NIV,Genesis,1,Genesis1:11,WORD,on,H5921
133,NIV,Genesis,1,Genesis1:11,PHRASE,the earth,H776
134,NIV,Genesis,1,Genesis1:11,WORD,bearing,H6213
135,NIV,Genesis,1,Genesis1:11,WORD,fruit,H6529
136,NIV,Genesis,1,Genesis1:11,PHRASE,after their kind,H4327
137,NIV,Genesis,1,Genesis1:11,WORD,with,H834
138,NIV,Genesis,1,Genesis1:11,WORD,seed,H2233
139,NIV,Genesis,1,Genesis1:11,PHRASE,in them;,
140,NIV,Genesis,1,Genesis1:11,PHRASE,and it was,H1961
141,NIV,Genesis,1,Genesis1:11,WORD,so,H3651
142,NIV,Genesis,1,Genesis1:12,PHRASE,The earth,H776
143,NIV,Genesis,1,Genesis1:12,PHRASE,brought forth,H3318
144,NIV,Genesis,1,Genesis1:12,WORD,vegetation,H1877
145,NIV,Genesis,1,Genesis1:12,WORD,plants,H6212
146,NIV,Genesis,1,Genesis1:12,WORD,yielding,H2232
147,NIV,Genesis,1,Genesis1:12,WORD,seed,H2233
148,NIV,Genesis,1,Genesis1:12,PHRASE,after their kind,H4327
149,NIV,Genesis,1,Genesis1:12,PHRASE,and trees,H6086
150,NIV,Genesis,1,Genesis1:12,WORD,bearing,H6213
151,NIV,Genesis,1,Genesis1:12,WORD,fruit,H6529
152,NIV,Genesis,1,Genesis1:12,WORD,with,H834
153,NIV,Genesis,1,Genesis1:12,WORD,seed,H2233
154,NIV,Genesis,1,Genesis1:12,PHRASE,"in them,",
155,NIV,Genesis,1,Genesis1:12,PHRASE,after their kind,H4327
156,NIV,Genesis,1,Genesis1:12,WORD,and,H7200
157,NIV,Genesis,1,Genesis1:12,WORD,God,H430
158,NIV,Genesis,1,Genesis1:12,WORD,saw,H7200
159,NIV,Genesis,1,Genesis1:12,WORD,that,H3588
160,NIV,Genesis,1,Genesis1:12,PHRASE,it was,
161,NIV,Genesis,1,Genesis1:12,WORD,good,H2896
162,NIV,Genesis,1,Genesis1:13,PHRASE,There was,H1961
163,NIV,Genesis,1,Genesis1:13,WORD,evening,H6153
164,NIV,Genesis,1,Genesis1:13,PHRASE,and there was,H1961
165,NIV,Genesis,1,Genesis1:13,WORD,morning,H1242
166,NIV,Genesis,1,Genesis1:13,WORD,a,H3117
167,NIV,Genesis,1,Genesis1:13,WORD,third,H7992
168,NIV,Genesis,1,Genesis1:13,WORD,day,H3117
169,NIV,Genesis,1,Genesis1:14,PHRASE,Then God,H430
170,NIV,Genesis,1,Genesis1:14,WORD,said,H559
