bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,bible_book,version
1,Exodus1:1,PHRASE,Now these,H428,Exodus,NLT
1,Exodus1:1,WORD,are,,Exodus,NLT
1,Exodus1:1,PHRASE,the names,H8034,Exodus,NLT
1,Exodus1:1,PHRASE,of the sons,H1121,Exodus,NLT
1,Exodus1:1,PHRASE,of Israel,H3478,Exodus,NLT
1,Exodus1:1,PHRASE,who came,H935,Exodus,NLT
1,Exodus1:1,PHRASE,to Egypt,H4714,Exodus,NLT
1,Exodus1:1,WORD,with,H854,Exodus,NLT
1,Exodus1:1,WORD,Jacob,H3290,Exodus,NLT
1,Exodus1:1,PHRASE,they came,H935,Exodus,NLT
1,Exodus1:1,PHRASE,each one,H376,Exodus,NLT
1,Exodus1:1,PHRASE,with his household,H1004,Exodus,NLT
1,Exodus1:2,WORD,Reuben,H7205,Exodus,NLT
1,Exodus1:2,WORD,Simeon,H8095,Exodus,NLT
1,Exodus1:2,WORD,Levi,H3878,Exodus,NLT
1,Exodus1:2,PHRASE,and Judah,H3063,Exodus,NLT
1,Exodus1:3,WORD,Issachar,H3485,Exodus,NLT
1,Exodus1:3,WORD,Zebulun,H2074,Exodus,NLT
1,Exodus1:3,PHRASE,and Benjamin,H1144,Exodus,NLT
1,Exodus1:4,WORD,Dan,H1835,Exodus,NLT
1,Exodus1:4,PHRASE,and Naphtali,H5321,Exodus,NLT
1,Exodus1:4,WORD,Gad,H1410,Exodus,NLT
1,Exodus1:4,PHRASE,and Asher,H836,Exodus,NLT
1,Exodus1:5,WORD,All,H3605,Exodus,NLT
1,Exodus1:5,PHRASE,the persons,H5315,Exodus,NLT
1,Exodus1:5,PHRASE,who came from,H3318,Exodus,NLT
1,Exodus1:5,PHRASE,the loins,H3409,Exodus,NLT
1,Exodus1:5,PHRASE,of Jacob,H3290,Exodus,NLT
1,Exodus1:5,WORD,were,H1961,Exodus,NLT
1,Exodus1:5,WORD,seventy,H7657,Exodus,NLT
1,Exodus1:5,PHRASE,in number,H5315,Exodus,NLT
1,Exodus1:5,PHRASE,but Joseph,H3130,Exodus,NLT
1,Exodus1:5,WORD,was,H1961,Exodus,NLT
1,Exodus1:5,WORD,already,,Exodus,NLT
1,Exodus1:5,PHRASE,in Egypt,H4714,Exodus,NLT
1,Exodus1:6,WORD,Joseph,H3130,Exodus,NLT
1,Exodus1:6,WORD,died,H4191,Exodus,NLT
1,Exodus1:6,PHRASE,and all,H3605,Exodus,NLT
1,Exodus1:6,PHRASE,his brothers,H251,Exodus,NLT
1,Exodus1:6,PHRASE,and all,H3605,Exodus,NLT
1,Exodus1:6,WORD,that,H1931,Exodus,NLT
1,Exodus1:6,WORD,generation,H1755,Exodus,NLT
1,Exodus1:7,PHRASE,But the sons,H1121,Exodus,NLT
1,Exodus1:7,PHRASE,of Israel,H3478,Exodus,NLT
1,Exodus1:7,PHRASE,were fruitful,H6509,Exodus,NLT
1,Exodus1:7,PHRASE,and increased greatly,H8317,Exodus,NLT
1,Exodus1:7,PHRASE,and multiplied,H7235,Exodus,NLT
1,Exodus1:7,PHRASE,and became,H6105,Exodus,NLT
1,Exodus1:7,WORD,exceedingly,H3966,Exodus,NLT
1,Exodus1:7,WORD,mighty,H6105,Exodus,NLT
1,Exodus1:7,PHRASE,so that,H4390,Exodus,NLT
1,Exodus1:7,PHRASE,the land,H776,Exodus,NLT
1,Exodus1:7,PHRASE,was filled,H4390,Exodus,NLT
1,Exodus1:7,PHRASE,with them,H853,Exodus,NLT
1,Exodus1:8,WORD,Now,H6965,Exodus,NLT
1,Exodus1:8,WORD,a,H4428,Exodus,NLT
1,Exodus1:8,WORD,new,H2319,Exodus,NLT
1,Exodus1:8,WORD,king,H4428,Exodus,NLT
1,Exodus1:8,WORD,arose,H6965,Exodus,NLT
1,Exodus1:8,WORD,over,H5921,Exodus,NLT
1,Exodus1:8,WORD,Egypt,H4714,Exodus,NLT
1,Exodus1:8,WORD,who,H834,Exodus,NLT
1,Exodus1:8,WORD,did,H3045,Exodus,NLT
1,Exodus1:8,WORD,not,H3808,Exodus,NLT
1,Exodus1:8,WORD,know,H3045,Exodus,NLT
1,Exodus1:8,WORD,Joseph,H3130,Exodus,NLT
1,Exodus1:9,PHRASE,He said,H559,Exodus,NLT
1,Exodus1:9,WORD,to,H413,Exodus,NLT
1,Exodus1:9,PHRASE,his people,H5971,Exodus,NLT
1,Exodus1:9,WORD,Behold,H2009,Exodus,NLT
1,Exodus1:9,PHRASE,the people,H5971,Exodus,NLT
1,Exodus1:9,PHRASE,of the sons,H1121,Exodus,NLT
1,Exodus1:9,PHRASE,of Israel,H3478,Exodus,NLT
1,Exodus1:9,WORD,are,,Exodus,NLT
1,Exodus1:9,WORD,more,H7227,Exodus,NLT
1,Exodus1:9,PHRASE,and mightier,H6099,Exodus,NLT
1,Exodus1:9,PHRASE,than we,H4480,Exodus,NLT
1,Exodus1:10,WORD,Come,H3051,Exodus,NLT
1,Exodus1:10,PHRASE,let us deal,H2449,Exodus,NLT
1,Exodus1:10,WORD,wisely,H2449,Exodus,NLT
1,Exodus1:10,PHRASE,"with them, or",H6435,Exodus,NLT
1,Exodus1:10,WORD,else,H6435,Exodus,NLT
1,Exodus1:10,PHRASE,they will multiply,H7235,Exodus,NLT
1,Exodus1:10,PHRASE,and in the event,H1961,Exodus,NLT
1,Exodus1:10,WORD,,H3588,Exodus,NLT
1,Exodus1:10,WORD,,H7122,Exodus,NLT
1,Exodus1:10,PHRASE,of war,H4421,Exodus,NLT
1,Exodus1:10,PHRASE,they will also,H1571,Exodus,NLT
1,Exodus1:10,WORD,join,H3254,Exodus,NLT
1,Exodus1:10,PHRASE,themselves to those who,H834,Exodus,NLT
1,Exodus1:10,WORD,hate,H8130,Exodus,NLT
1,Exodus1:10,PHRASE,"us, and fight",H3898,Exodus,NLT
1,Exodus1:10,PHRASE,against us and depart,H5927,Exodus,NLT
1,Exodus1:10,PHRASE,from the land,H776,Exodus,NLT
1,Exodus1:11,PHRASE,So they appointed,H7760,Exodus,NLT
1,Exodus1:11,WORD,taskmasters,H4522,Exodus,NLT
1,Exodus1:11,PHRASE,over them,H5921,Exodus,NLT
1,Exodus1:11,WORD,to,H4616,Exodus,NLT
1,Exodus1:11,PHRASE,afflict them,H6031,Exodus,NLT
1,Exodus1:11,PHRASE,with hard labor,H5450,Exodus,NLT
1,Exodus1:11,PHRASE,And they built,H1129,Exodus,NLT
1,Exodus1:11,PHRASE,for Pharaoh,H6547,Exodus,NLT
1,Exodus1:11,WORD,storage,H4543,Exodus,NLT
1,Exodus1:11,WORD,cities,H5892,Exodus,NLT
1,Exodus1:11,WORD,Pithom,H6619,Exodus,NLT
1,Exodus1:11,WORD,and,H853,Exodus,NLT
1,Exodus1:11,WORD,Raamses,H7486,Exodus,NLT
1,Exodus1:12,PHRASE,But the more,H834,Exodus,NLT
1,Exodus1:12,PHRASE,they afflicted,H6031,Exodus,NLT
1,Exodus1:12,WORD,"them,",H853,Exodus,NLT
1,Exodus1:12,PHRASE,the more,H3651,Exodus,NLT
1,Exodus1:12,PHRASE,they multiplied,H7235,Exodus,NLT
1,Exodus1:12,PHRASE,and the more,H3651,Exodus,NLT
1,Exodus1:12,PHRASE,"they spread out,",H6555,Exodus,NLT
1,Exodus1:12,PHRASE,so that they were in dread,H6973,Exodus,NLT
1,Exodus1:12,WORD,of,H6440,Exodus,NLT
1,Exodus1:12,PHRASE,the sons,H1121,Exodus,NLT
1,Exodus1:12,PHRASE,of Israel,H3478,Exodus,NLT
1,Exodus1:13,PHRASE,The Egyptians,H4713,Exodus,NLT
1,Exodus1:13,WORD,compelled,H5647,Exodus,NLT
1,Exodus1:13,PHRASE,the sons,H1121,Exodus,NLT
1,Exodus1:13,PHRASE,of Israel,H3478,Exodus,NLT
1,Exodus1:13,PHRASE,to labor,H5647,Exodus,NLT
1,Exodus1:13,WORD,rigorously,H6531,Exodus,NLT
1,Exodus1:14,PHRASE,and they made,H4843,Exodus,NLT
1,Exodus1:14,PHRASE,their lives,H2416,Exodus,NLT
1,Exodus1:14,WORD,bitter,H4843,Exodus,NLT
1,Exodus1:14,WORD,with,H5656,Exodus,NLT
1,Exodus1:14,WORD,hard,H7186,Exodus,NLT
1,Exodus1:14,WORD,labor,H5656,Exodus,NLT
1,Exodus1:14,PHRASE,in mortar,H2563,Exodus,NLT
1,Exodus1:14,PHRASE,and bricks,H3843,Exodus,NLT
1,Exodus1:14,PHRASE,and at all kinds,H3605,Exodus,NLT
1,Exodus1:14,PHRASE,of labor,H5656,Exodus,NLT
1,Exodus1:14,PHRASE,in the field,H7704,Exodus,NLT
1,Exodus1:14,WORD,all,H3605,Exodus,NLT
1,Exodus1:14,PHRASE,their labors,H5656,Exodus,NLT
1,Exodus1:14,WORD,which,H834,Exodus,NLT
1,Exodus1:14,WORD,they,H5647,Exodus,NLT
1,Exodus1:14,WORD,rigorously,H6531,Exodus,NLT
1,Exodus1:14,WORD,imposed,H5647,Exodus,NLT
1,Exodus1:14,PHRASE,on them,,Exodus,NLT
1,Exodus1:15,WORD,Then,H559,Exodus,NLT
1,Exodus1:15,PHRASE,the king,H4428,Exodus,NLT
1,Exodus1:15,PHRASE,of Egypt,H4714,Exodus,NLT
1,Exodus1:15,WORD,spoke,H559,Exodus,NLT
1,Exodus1:15,PHRASE,to the,H3205,Exodus,NLT
1,Exodus1:15,WORD,Hebrew,H5680,Exodus,NLT
1,Exodus1:15,WORD,midwives,H3205,Exodus,NLT
1,Exodus1:15,WORD,one,H259,Exodus,NLT
1,Exodus1:15,PHRASE,of whom,H834,Exodus,NLT
1,Exodus1:15,WORD,was,,Exodus,NLT
1,Exodus1:15,WORD,named,H8034,Exodus,NLT
1,Exodus1:15,WORD,Shiphrah,H8236,Exodus,NLT
1,Exodus1:15,WORD,and,H8034,Exodus,NLT
1,Exodus1:15,PHRASE,the other,H8145,Exodus,NLT
1,Exodus1:15,PHRASE,was named,H8034,Exodus,NLT
1,Exodus1:15,WORD,Puah,H6326,Exodus,NLT
1,Exodus1:16,PHRASE,and he said,H559,Exodus,NLT
1,Exodus1:16,PHRASE,When you are helping,H3205,Exodus,NLT
1,Exodus1:16,PHRASE,the Hebrew women,H5680,Exodus,NLT
1,Exodus1:16,PHRASE,to give birth,H3205,Exodus,NLT
1,Exodus1:16,PHRASE,and see,H7200,Exodus,NLT
1,Exodus1:16,WORD,them,,Exodus,NLT
1,Exodus1:16,WORD,upon,H5921,Exodus,NLT
1,Exodus1:16,PHRASE,the birthstool,H70,Exodus,NLT
1,Exodus1:16,WORD,if,H518,Exodus,NLT
1,Exodus1:16,WORD,it,H1931,Exodus,NLT
1,Exodus1:16,WORD,is,,Exodus,NLT
1,Exodus1:16,PHRASE,a son,H1121,Exodus,NLT
1,Exodus1:16,PHRASE,then you shall put,H4191,Exodus,NLT
1,Exodus1:16,WORD,him,H853,Exodus,NLT
1,Exodus1:16,PHRASE,to death,H4191,Exodus,NLT
1,Exodus1:16,PHRASE,but if,H518,Exodus,NLT
1,Exodus1:16,WORD,it,H1931,Exodus,NLT
1,Exodus1:16,WORD,is,,Exodus,NLT
