bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,bible_book,version
1,Numbers1:1,PHRASE,Then the LORD,H3068,Numbers,NLT
1,Numbers1:1,WORD,spoke,H1696,Numbers,NLT
1,Numbers1:1,PHRASE,to Moses,H4872,Numbers,NLT
1,Numbers1:1,PHRASE,in the wilderness,H4057,Numbers,NLT
1,Numbers1:1,PHRASE,of Sinai,H5514,Numbers,NLT
1,Numbers1:1,PHRASE,in the tent,H168,Numbers,NLT
1,Numbers1:1,PHRASE,of meeting,H4150,Numbers,NLT
1,Numbers1:1,PHRASE,on the first,H259,Numbers,NLT
1,Numbers1:1,PHRASE,of the second,H8145,Numbers,NLT
1,Numbers1:1,PHRASE,"month, in the second",H8145,Numbers,NLT
1,Numbers1:1,WORD,year,H8141,Numbers,NLT
1,Numbers1:1,PHRASE,after they had come,H3318,Numbers,NLT
1,Numbers1:1,PHRASE,out of the land,H776,Numbers,NLT
1,Numbers1:1,PHRASE,of Egypt,H4714,Numbers,NLT
1,Numbers1:1,WORD,saying,H559,Numbers,NLT
1,Numbers1:2,WORD,Take,H5375,Numbers,NLT
1,Numbers1:2,PHRASE,a census,H7218,Numbers,NLT
1,Numbers1:2,PHRASE,of all,H3605,Numbers,NLT
1,Numbers1:2,PHRASE,the congregation,H5712,Numbers,NLT
1,Numbers1:2,PHRASE,of the sons,H1121,Numbers,NLT
1,Numbers1:2,PHRASE,of Israel,H3478,Numbers,NLT
1,Numbers1:2,PHRASE,by their families,H4940,Numbers,NLT
1,Numbers1:2,PHRASE,by their fathers,H1,Numbers,NLT
1,Numbers1:2,WORD,households,H1004,Numbers,NLT
1,Numbers1:2,PHRASE,according to the number,H4557,Numbers,NLT
1,Numbers1:2,PHRASE,of names,H8034,Numbers,NLT
1,Numbers1:2,WORD,every,H3605,Numbers,NLT
1,Numbers1:2,WORD,male,H2145,Numbers,NLT
1,Numbers1:2,WORD,head,H1538,Numbers,NLT
1,Numbers1:2,PHRASE,by head,H1538,Numbers,NLT
1,Numbers1:3,PHRASE,from twenty,H6242,Numbers,NLT
1,Numbers1:3,WORD,years,H8141,Numbers,NLT
1,Numbers1:3,WORD,old,H1121,Numbers,NLT
1,Numbers1:3,PHRASE,and upward,H4605,Numbers,NLT
1,Numbers1:3,WORD,whoever,H3605,Numbers,NLT
1,Numbers1:3,PHRASE,is able to go,H3318,Numbers,NLT
1,Numbers1:3,PHRASE,out to war,H6635,Numbers,NLT
1,Numbers1:3,PHRASE,in Israel,H3478,Numbers,NLT
1,Numbers1:3,PHRASE,you and Aaron,H175,Numbers,NLT
1,Numbers1:3,PHRASE,shall number,H6485,Numbers,NLT
1,Numbers1:3,PHRASE,them by their armies,H6635,Numbers,NLT
1,Numbers1:4,PHRASE,"With you, moreover, there shall be a man",H376,Numbers,NLT
1,Numbers1:4,PHRASE,of each,H376,Numbers,NLT
1,Numbers1:4,WORD,tribe,H4294,Numbers,NLT
1,Numbers1:4,WORD,each,H376,Numbers,NLT
1,Numbers1:4,WORD,one,H376,Numbers,NLT
1,Numbers1:4,WORD,head,H7218,Numbers,NLT
1,Numbers1:4,PHRASE,of his father's,H1,Numbers,NLT
1,Numbers1:4,WORD,household,H1004,Numbers,NLT
1,Numbers1:5,WORD,These,H428,Numbers,NLT
1,Numbers1:5,PHRASE,then are the names,H8034,Numbers,NLT
1,Numbers1:5,PHRASE,of the men,H376,Numbers,NLT
1,Numbers1:5,WORD,who,H834,Numbers,NLT
1,Numbers1:5,PHRASE,shall stand,H5975,Numbers,NLT
1,Numbers1:5,PHRASE,with you: of Reuben,H7205,Numbers,NLT
1,Numbers1:5,WORD,Elizur,H468,Numbers,NLT
1,Numbers1:5,PHRASE,the son,H1121,Numbers,NLT
1,Numbers1:5,PHRASE,of Shedeur,H7707,Numbers,NLT
1,Numbers1:6,PHRASE,of Simeon,H8095,Numbers,NLT
1,Numbers1:6,WORD,Shelumiel,H8017,Numbers,NLT
1,Numbers1:6,PHRASE,the son,H1121,Numbers,NLT
1,Numbers1:6,PHRASE,of Zurishaddai,H6701,Numbers,NLT
1,Numbers1:7,PHRASE,of Judah,H3063,Numbers,NLT
1,Numbers1:7,WORD,Nahshon,H5177,Numbers,NLT
1,Numbers1:7,PHRASE,the son,H1121,Numbers,NLT
1,Numbers1:7,PHRASE,of Amminadab,H5992,Numbers,NLT
1,Numbers1:8,PHRASE,of Issachar,H3485,Numbers,NLT
1,Numbers1:8,WORD,Nethanel,H5417,Numbers,NLT
1,Numbers1:8,PHRASE,the son,H1121,Numbers,NLT
1,Numbers1:8,PHRASE,of Zuar,H6686,Numbers,NLT
1,Numbers1:9,PHRASE,of Zebulun,H2074,Numbers,NLT
1,Numbers1:9,WORD,Eliab,H446,Numbers,NLT
1,Numbers1:9,PHRASE,the son,H1121,Numbers,NLT
1,Numbers1:9,PHRASE,of Helon,H2497,Numbers,NLT
1,Numbers1:10,PHRASE,of the sons,H1121,Numbers,NLT
1,Numbers1:10,PHRASE,of Joseph,H3130,Numbers,NLT
1,Numbers1:10,PHRASE,of Ephraim,H669,Numbers,NLT
1,Numbers1:10,WORD,Elishama,H476,Numbers,NLT
1,Numbers1:10,PHRASE,the son,H1121,Numbers,NLT
1,Numbers1:10,PHRASE,of Ammihud,H5989,Numbers,NLT
1,Numbers1:10,PHRASE,of Manasseh,H4519,Numbers,NLT
1,Numbers1:10,WORD,Gamaliel,H1583,Numbers,NLT
1,Numbers1:10,PHRASE,the son,H1121,Numbers,NLT
1,Numbers1:10,PHRASE,of Pedahzur,H6301,Numbers,NLT
1,Numbers1:11,PHRASE,of Benjamin,H1144,Numbers,NLT
1,Numbers1:11,WORD,Abidan,H27,Numbers,NLT
1,Numbers1:11,PHRASE,the son,H1121,Numbers,NLT
1,Numbers1:11,PHRASE,of Gideoni,H1441,Numbers,NLT
1,Numbers1:12,PHRASE,of Dan,H1835,Numbers,NLT
1,Numbers1:12,WORD,Ahiezer,H295,Numbers,NLT
1,Numbers1:12,PHRASE,the son,H1121,Numbers,NLT
1,Numbers1:12,PHRASE,of Ammishaddai,H5996,Numbers,NLT
1,Numbers1:13,PHRASE,of Asher,H836,Numbers,NLT
1,Numbers1:13,WORD,Pagiel,H6295,Numbers,NLT
1,Numbers1:13,PHRASE,the son,H1121,Numbers,NLT
1,Numbers1:13,PHRASE,of Ochran,H5918,Numbers,NLT
1,Numbers1:14,PHRASE,of Gad,H1410,Numbers,NLT
1,Numbers1:14,WORD,Eliasaph,H460,Numbers,NLT
1,Numbers1:14,PHRASE,the son,H1121,Numbers,NLT
1,Numbers1:14,PHRASE,of Deuel,H1845,Numbers,NLT
1,Numbers1:15,PHRASE,of Naphtali,H5321,Numbers,NLT
1,Numbers1:15,WORD,Ahira,H299,Numbers,NLT
1,Numbers1:15,PHRASE,the son,H1121,Numbers,NLT
1,Numbers1:15,PHRASE,of Enan,H5881,Numbers,NLT
1,Numbers1:16,WORD,These,H428,Numbers,NLT
1,Numbers1:16,PHRASE,are they who,H7148,Numbers,NLT
1,Numbers1:16,PHRASE,were called,H7148,Numbers,NLT
1,Numbers1:16,PHRASE,of the congregation,H5712,Numbers,NLT
1,Numbers1:16,PHRASE,the leaders,H5387,Numbers,NLT
1,Numbers1:16,PHRASE,of their fathers,H1,Numbers,NLT
1,Numbers1:16,WORD,tribes,H4294,Numbers,NLT
1,Numbers1:16,PHRASE,they were the heads,H7218,Numbers,NLT
1,Numbers1:16,PHRASE,of divisions,H505,Numbers,NLT
1,Numbers1:16,PHRASE,of Israel,H3478,Numbers,NLT
1,Numbers1:17,PHRASE,So Moses,H4872,Numbers,NLT
1,Numbers1:17,PHRASE,and Aaron,H175,Numbers,NLT
1,Numbers1:17,WORD,took,H3947,Numbers,NLT
1,Numbers1:17,WORD,these,H428,Numbers,NLT
1,Numbers1:17,WORD,men,H376,Numbers,NLT
1,Numbers1:17,WORD,who,H834,Numbers,NLT
1,Numbers1:17,PHRASE,had been designated,H5344,Numbers,NLT
1,Numbers1:17,PHRASE,by name,H8034,Numbers,NLT
1,Numbers1:18,PHRASE,and they assembled,H6950,Numbers,NLT
1,Numbers1:18,WORD,all,H3605,Numbers,NLT
1,Numbers1:18,PHRASE,the congregation,H5712,Numbers,NLT
1,Numbers1:18,PHRASE,together on the first,H259,Numbers,NLT
1,Numbers1:18,PHRASE,of the second,H8145,Numbers,NLT
1,Numbers1:18,WORD,month,H2320,Numbers,NLT
1,Numbers1:18,PHRASE,Then they registered,H3205,Numbers,NLT
1,Numbers1:18,PHRASE,by ancestry,H3205,Numbers,NLT
1,Numbers1:18,PHRASE,in their families,H4940,Numbers,NLT
1,Numbers1:18,PHRASE,by their fathers,H1,Numbers,NLT
1,Numbers1:18,WORD,households,H1004,Numbers,NLT
1,Numbers1:18,PHRASE,according to the number,H4557,Numbers,NLT
1,Numbers1:18,PHRASE,of names,H8034,Numbers,NLT
1,Numbers1:18,PHRASE,from twenty,H6242,Numbers,NLT
1,Numbers1:18,WORD,years,H8141,Numbers,NLT
1,Numbers1:18,WORD,old,H1121,Numbers,NLT
1,Numbers1:18,PHRASE,and upward,H4605,Numbers,NLT
1,Numbers1:18,WORD,head,H1538,Numbers,NLT
1,Numbers1:18,PHRASE,by head,H1538,Numbers,NLT
1,Numbers1:19,WORD,just,H834,Numbers,NLT
1,Numbers1:19,PHRASE,as the LORD,H3068,Numbers,NLT
1,Numbers1:19,PHRASE,had commanded,H6680,Numbers,NLT
1,Numbers1:19,WORD,Moses,H4872,Numbers,NLT
1,Numbers1:19,PHRASE,So he numbered,H6485,Numbers,NLT
1,Numbers1:19,PHRASE,them in the wilderness,H4057,Numbers,NLT
1,Numbers1:19,PHRASE,of Sinai,H5514,Numbers,NLT
1,Numbers1:20,PHRASE,Now the sons,H1121,Numbers,NLT
1,Numbers1:20,PHRASE,of Reuben,H7205,Numbers,NLT
1,Numbers1:20,WORD,Israel's,H3478,Numbers,NLT
1,Numbers1:20,WORD,firstborn,H1060,Numbers,NLT
1,Numbers1:20,PHRASE,their genealogical,H8435,Numbers,NLT
1,Numbers1:20,WORD,registration,H8435,Numbers,NLT
1,Numbers1:20,PHRASE,by their families,H4940,Numbers,NLT
1,Numbers1:20,PHRASE,by their fathers,H1,Numbers,NLT
1,Numbers1:20,WORD,households,H1004,Numbers,NLT
1,Numbers1:20,PHRASE,according to the number,H4557,Numbers,NLT
1,Numbers1:20,PHRASE,of names,H8034,Numbers,NLT
1,Numbers1:20,WORD,head,H1538,Numbers,NLT
1,Numbers1:20,PHRASE,by head,H1538,Numbers,NLT
1,Numbers1:20,WORD,every,H3605,Numbers,NLT
1,Numbers1:20,WORD,male,H2145,Numbers,NLT
1,Numbers1:20,PHRASE,from twenty,H6242,Numbers,NLT
1,Numbers1:20,WORD,years,H8141,Numbers,NLT
1,Numbers1:20,WORD,old,H1121,Numbers,NLT
1,Numbers1:20,PHRASE,and upward,H4605,Numbers,NLT
1,Numbers1:20,WORD,whoever,H3605,Numbers,NLT
1,Numbers1:20,PHRASE,was able to go,H3318,Numbers,NLT
1,Numbers1:20,PHRASE,out to war,H6635,Numbers,NLT
1,Numbers1:21,PHRASE,their numbered,H6485,Numbers,NLT
1,Numbers1:21,PHRASE,men of the tribe,H4294,Numbers,NLT
1,Numbers1:21,PHRASE,of Reuben,H7205,Numbers,NLT
1,Numbers1:21,PHRASE,"were 46,500",H8337,Numbers,NLT
1,Numbers1:21,WORD,,H705,Numbers,NLT
1,Numbers1:21,WORD,,H505,Numbers,NLT
1,Numbers1:21,WORD,,H2568,Numbers,NLT
1,Numbers1:21,WORD,,H3967,Numbers,NLT
1,Numbers1:22,PHRASE,Of the sons,H1121,Numbers,NLT
1,Numbers1:22,PHRASE,of Simeon,H8095,Numbers,NLT
1,Numbers1:22,PHRASE,their genealogical,H8435,Numbers,NLT
1,Numbers1:22,WORD,registration,H8435,Numbers,NLT
1,Numbers1:22,PHRASE,by their families,H4940,Numbers,NLT
1,Numbers1:22,PHRASE,by their fathers,H1,Numbers,NLT
1,Numbers1:22,WORD,households,H1004,Numbers,NLT
1,Numbers1:22,PHRASE,their numbered,H6485,Numbers,NLT
1,Numbers1:22,PHRASE,"men, according to the number",H4557,Numbers,NLT
1,Numbers1:22,PHRASE,of names,H8034,Numbers,NLT
1,Numbers1:22,WORD,head,H1538,Numbers,NLT
1,Numbers1:22,PHRASE,by head,H1538,Numbers,NLT
1,Numbers1:22,WORD,every,H3605,Numbers,NLT
1,Numbers1:22,WORD,male,H2145,Numbers,NLT
1,Numbers1:22,PHRASE,from twenty,H6242,Numbers,NLT
1,Numbers1:22,WORD,years,H8141,Numbers,NLT
1,Numbers1:22,WORD,old,H1121,Numbers,NLT
1,Numbers1:22,PHRASE,and upward,H4605,Numbers,NLT
1,Numbers1:22,WORD,whoever,H3605,Numbers,NLT
1,Numbers1:22,PHRASE,was able to go,H3318,Numbers,NLT
1,Numbers1:22,PHRASE,out to war,H6635,Numbers,NLT
1,Numbers1:23,PHRASE,their numbered,H6485,Numbers,NLT
1,Numbers1:23,PHRASE,men of the tribe,H4294,Numbers,NLT
1,Numbers1:23,PHRASE,of Simeon,H8095,Numbers,NLT
1,Numbers1:23,PHRASE,"were 59,300",H8672,Numbers,NLT
1,Numbers1:23,WORD,,H2572,Numbers,NLT
1,Numbers1:23,WORD,,H505,Numbers,NLT
1,Numbers1:23,WORD,,H7969,Numbers,NLT
1,Numbers1:23,WORD,,H3967,Numbers,NLT
1,Numbers1:24,PHRASE,Of the sons,H1121,Numbers,NLT
1,Numbers1:24,PHRASE,of Gad,H1410,Numbers,NLT
1,Numbers1:24,PHRASE,their genealogical,H8435,Numbers,NLT
1,Numbers1:24,WORD,registration,H8435,Numbers,NLT
1,Numbers1:24,PHRASE,by their families,H4940,Numbers,NLT
1,Numbers1:24,PHRASE,by their fathers,H1,Numbers,NLT
1,Numbers1:24,WORD,households,H1004,Numbers,NLT
1,Numbers1:24,PHRASE,according to the number,H4557,Numbers,NLT
1,Numbers1:24,PHRASE,of names,H8034,Numbers,NLT
1,Numbers1:24,PHRASE,from twenty,H6242,Numbers,NLT
1,Numbers1:24,WORD,years,H8141,Numbers,NLT
1,Numbers1:24,WORD,old,H1121,Numbers,NLT
1,Numbers1:24,PHRASE,and upward,H4605,Numbers,NLT
1,Numbers1:24,WORD,whoever,H3605,Numbers,NLT
1,Numbers1:24,PHRASE,was able to go,H3318,Numbers,NLT
1,Numbers1:24,PHRASE,out to war,H6635,Numbers,NLT
1,Numbers1:25,PHRASE,their numbered,H6485,Numbers,NLT
1,Numbers1:25,PHRASE,men of the tribe,H4294,Numbers,NLT
1,Numbers1:25,PHRASE,of Gad,H1410,Numbers,NLT
1,Numbers1:25,PHRASE,"were 45,650",H2568,Numbers,NLT
1,Numbers1:25,WORD,,H705,Numbers,NLT
1,Numbers1:25,WORD,,H505,Numbers,NLT
1,Numbers1:25,WORD,,H8337,Numbers,NLT
1,Numbers1:25,WORD,,H3967,Numbers,NLT
1,Numbers1:25,WORD,,H2572,Numbers,NLT
1,Numbers1:26,PHRASE,Of the sons,H1121,Numbers,NLT
1,Numbers1:26,PHRASE,of Judah,H3063,Numbers,NLT
1,Numbers1:26,PHRASE,their genealogical,H8435,Numbers,NLT
